施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
藤盛医院,036-8183,青森県弘前市大字品川町２７－１,0172-32-0974,fujimori@violin.ocn.ne.jp,有,24時間対応,有,青森県,弘前市,02202,40.596916,140.47522
麻美レディースクリニック,039-1166,青森県八戸市根城５丁目１－２,0178-80-7123,www.mami-ladies.jp/,有,"月・火・水・金 9:00～12:00、14:30～
18:00
木 9:00～11:30
土 9:00～11:30",有,青森県,八戸市,02203,40.508018,141.47229
むつ総合病院,035-8601,青森県むつ市小川町一丁目2-8,0175-22-2111,"http://www.hospital-
mutsu.or.jp",有,"平日 8:30～17:00
その他の時間でも適宜対応",有,青森県,むつ市,02208,41.293324,141.202698
"メーラ．レディスクリニッ
ク",036-8343,青森県弘前市大字東長町60－２,0172-31-1882,info@mela-lc.com,有,"月・火・木・金 8:30～18:30
水 8:30～12:30
土 8:30～16:30",有,青森県,弘前市,02202,40.606476,140.47319
"レディス・みかみクリニッ
ク",036-0367,青森県黒石市前町４９,0172-52-8618,"http://ladies-
mikamiclinic.com/",有,"平日 9:00～12:10、14:00～18:00
土 9:00～12:00",有,青森県,黒石市,02204,40.643425,140.59642
"レディスクリニックセント
セシリア",030-0944,青森県青森市大字筒井字八ッ橋９５－１２,017-738-0321,www.cecilia3.com,有,"平日 9:00～12:30、15:00～18:30
（木曜午後休診）
土 9:00～15:00",有,青森県,青森市,02201,40.797031,140.764679
協立クリニック,030-0847,青森県青森市東大野二丁目２－２,017-762-5511,"https://www.aomori-h-
coop.com/kyoritsu/",有,平日 9:00～12:00,有,青森県,青森市,02201,40.7995,140.742462
公立野辺地病院,039-3141,青森県野辺地町字鳴沢9-12,0175-64-3211,"http://hospital-noheji-
aomori.jp",有,対応時間なし（緊急避妊への対応不可）,無,青森県,上北郡野辺地町,02401,40.8563,141.126389
国保五戸総合病院,039-1517,青森県五戸町字沢向17-3,0178-61-1200,"www.town.gonohe.aomori.jp/sago
byoin",有,平日 8:45～16:00,有,青森県,三戸郡五戸町,02442,40.808102,140.440002
黒石市国保黒石病院,036-0541,青森県黒石市北美町一丁目70,0172-52-2121,http://hospital-kuroishi.jp,有,"平日 8:30～11:30（外来で対応）
※時間外、休日、夜間は事前に電話相談",有,青森県,黒石市,02204,40.653984,140.60231
三戸町国保三戸中央病院,039-0141,青森県三戸町大字川守田字沖中9-1,0179-20-1131,"https://hospital.town.sannohe.
aomori.jp/",有,"月 8:15～11:30
火 8:15～11:30、12:30～15:00",無,青森県,三戸郡三戸町,02441,40.391594,141.268326
十和田市立中央病院,034-0093,青森県十和田市西十二番町14-8,0176-23-5121,"http://www.hp-chuou-
towada.towada.aomori.jp",有,平日 8:30～17:00,無,青森県,十和田市,02206,40.612278,141.20372
西村産婦人科クリニック,031-0802,青森県八戸市小中野４丁目8-18,0178-22-3901,dr.nishimura.com,有,"平日 9:00～11:00、14:30～16:30
水・土 9:00～11:00",有,青森県,八戸市,02203,40.520679,141.511292
千歳産婦人科医院,030-0861,青森県青森市長島三丁目１２ー６,017-776-2893,,有,"平日 9:00～12:00、14:00～18:00
木・土 9:00～12:00
基本的に外来診療時間内
その他は連絡してから指示を受ける",有,青森県,青森市,02201,40.819748,140.742126
"倉本クリニック 婦人科・
産科",031-0044,青森県八戸市廿六日町３,0178-73-2399,kuracli@comet.ocn.ne.jp,有,"月・火・木・金 9:00～12:00、14:00～
18:00
水・土 9:00～12:00",有,青森県,八戸市,02203,40.507072,141.487473
"津軽保健生活協同組合健生
病院",036-8511,青森県弘前市大字扇町二丁目2-2,0172-55-7717,https://www.kensei-hp.jp,有,"24時間
※ただし、婦人科受付時間（平日9:00～
11:00）以外はERで薬の処方のみ対応。",有,青森県,弘前市,02202,40.586803,140.502609
田中産婦人科クリニック,030-0966,青森県青森市花園一丁目７-１３,017-744-4103,,有,"平日 9:00～18:00
水・土 9:00～12:00",有,青森県,青森市,02201,40.823589,140.766098
"独立行政法人国立病院機構
弘前総合医療センター",036-8545,青森県弘前市大字富野町1,0172-32-4311,http://hirosaki.hosp.go.jp,有,常時対応,有,青森県,弘前市,02202,40.58971,140.475327
八戸クリニック,031-0081,青森県八戸市柏崎１丁目8-32,0178-22-7725,"http://www.hachinohe-
clinic.com/index.php",有,365日 24時間対応,有,青森県,八戸市,02203,40.512466,141.494904
