施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
向陽台クリニック,920-0272,石川県河北郡内灘町向陽台1丁目225番地,076-255-3454,"http://koyodai-
clinic.sakura.ne.jp",有,"平日 9:30～12:30／15:00～
18:30
土曜 9:30～12:30／15:00～
17:00",有,石川県,河北郡内灘町,36.639664,136.636948
"つねファミリークリニッ
ク",920-0269,石川県河北郡内灘町白帆台2-1,076-286-1230,"https://www.tsunepedicardio.co
m/",有,"平日 9:00～17:00
土曜 9:00～16:00",有,石川県,河北郡内灘町,36.671909,136.658203
"いこまともみレディース
クリニック",924-0081,石川県白山市北安田西二丁目41番,076-216-0123,"http//www.ikomatomomi-
clinic.jp/",有,"平日 9:00～12:00／15:00～
18:00
土曜 9:00～13:00",有,石川県,白山市,36.520439,136.544815
"ののいち産婦人科クリ
ニック",921-8815,石川県野々市市本町2-18-22,076-248-5315,http://nonoichi-maternity.com,有,"月・火・木・金 9:00～12:00
14:30～18:00
水・土 9:00～12:00",有,石川県,野々市市,36.531532,136.620621
"深江レディースクリニッ
ク",921-8841,石川県野々市市郷町２６０番地,076-294-3336,http://www.fukae.or.jp/,有,"平日 9:00～12:00
月曜、水曜のみ 15:00～18:00
土曜 9:00～12:00",有,石川県,野々市市,36.52636,136.589142
"やまぎしレディスクリ
ニック",921-8832,石川県野々市市藤平田１丁目２５６－１,076-287-6066,0,有,"月・火・水・金曜 9:00～12:00
／14:00～18:00
土曜 9:00～15:00",有,石川県,野々市市,36.519897,136.60675
鈴木レディスホスピタル,921-8033,石川県金沢市寺町2-8-36,076-242-3155,https://www.suzukilh.com/,有,"診療時間内
（午前9時～12時30分 月～土）
（午後3時～5時30分 月・水・
金・土）",有,石川県,金沢市,36.548653,136.656204
愛育産婦人科医院,920-0804,石川県金沢市鳴和１丁目１３番６号,076-252-3535,0,有,"平日 8:30～18:00
土曜日 8:30～12:00
他 随時",有,石川県,金沢市,36.585571,136.67363
松田産婦人科医院,920-0981,石川県金沢市片町２丁目２６－１１,076-231-6249,0,有,"平日（月・火・水・金・土）
9:00～12:00",有,石川県,金沢市,36.561836,136.650009
"紺谷内科婦人科クリニッ
ク",920-0344,石川県金沢市畝田東2-125,076-268-3035,https://www.kontaniclinic.jp,有,"平日 9:00～17:30（木曜を除
く）
木曜、土曜 9:00～12:00",有,石川県,金沢市,36.593288,136.613907
丘村クリニック,920-3124,石川県金沢市荒屋１－８７,076-258-6116,0,有,"平日 9:00～12:00／14:00～
18:00
木曜 9:00～12:00
土曜 9:00～12:30",有,石川県,金沢市,36.615566,136.684494
"内田マタニティクリニッ
ク",920-1167,石川県金沢市もりの里1-212,076-234-3511,"http://www.uchidamaternity.com
/",有,"平日 9:00～11:30／15:00～
17:30(木曜は午前のみ)
土曜9:00～11:30／13:30～14:30",有,石川県,金沢市,36.5495,136.689545
"医療法人社団 吉澤レ
ディースクリニック",920-0355,石川県金沢市稚日野町北295-1,076-266-8155,http://www.yoshizawa-l-c.com/,有,"【月曜～水曜・金曜 9:00～
12:00／15:00～18:00】
【木曜 9:00～12:00】
【土曜 9:00～12:00／15:00～
17:00】",有,石川県,金沢市,36.579628,136.596634
ママBBクリニック,920-0203,石川県金沢市木越町ト5-1,076-258-1122,mamabb-clinic.com,有,"平日 9:00～12:00／15:00～
18:30（木曜日は午前中のみ）
土曜日 9:00～12:00／15:00～
17:00",有,石川県,金沢市,36.618755,136.662354
うきた産婦人科医院,921-8013,石川県金沢市新神田4-7-25,076-291-2277,http://www.ukita.or.jp/,有,"月火水金土 午前9時～午後1時／
午後2時30分～午後6時
木 午前9時～午後1時",有,石川県,金沢市,36.562046,136.628494
"金沢メディカルステー
ション ヴィーク",920-0858,"石川県金沢市木ノ新保町１－１金沢駅西口ビル４
Ｆ",076-235-4114,https://www.viec.jp/,有,"平日 9:30～17:00
土曜 9:30～13:00",有,石川県,金沢市,36.577168,136.647675
"医療法人社団壱愛会 愛
レディスクリニック",920-0363,石川県金沢市古府町南３８６－２,076-249-1117,0,有,"平日（木曜除く） 9:00～12:00
／16:00～18:00
土曜 9:00～12:00",有,石川県,金沢市,36.56189,136.610931
めぐみクリニック,920-8217,石川県金沢市近岡町345-1,076-237-1135,https://www.megumi.or.jp/,有,"月火水金 9:00～17:30
木曜 9:00～11:30
土曜 9:00～11:30",有,石川県,金沢市,36.610764,136.63089
"あおばウィメンズクリ
ニック",920-0344,石川県金沢市畝田東３丁目５４０,076-267-1255,http://aoba-womens.com/,有,"平日 9:00～12:30／14:30～
17:30
木曜土曜 9:00～12:30",有,石川県,金沢市,36.596752,136.615662
"まなぶ産科婦人科クリ
ニック",921-8045,石川県金沢市大桑2－307,076-255-7681,www.manabu-clinic.com,有,"平日 9:00～12:00／14:30～
17:30
水曜、土曜 9:00～12:00",有,石川県,金沢市,36.535297,136.674881
"レディースクリニックゆ
う",921-8036,石川県金沢市弥生３－３－４６,076-220-6677,http://www.clinicyu.com/,有,"平日 9:30～13:00／15:30～
18:30
土曜 同上",有,石川県,金沢市,36.542225,136.644012
"医療法人社団 アンジュ
レディースクリニック",920-0809,石川県金沢市三池栄町66番地,076-254-5103,http://ange-lc-jp/contact/,有,"月・水・金 9:00～12:30／14:30
～18:00
火 9:00～12:30／15:30～18:00
木 9:00～12:30
土 9:00～13:00",有,石川県,金沢市,36.596672,136.670029
公立羽咋病院,925-8502,石川県羽咋市的場町松崎２４番地,0767-22-1220,https://www.hakuihp.jp,有,"月・金 8:15～11:30
（事前にご連絡をお願いしま
す。）",無,石川県,羽咋市,36.900833,136.779953
"社会医療法人財団董仙会
恵寿総合病院",926-8605,石川県七尾市富岡町９４番地,0767-52-3211,www.keiju.co.jp,有,"平日 8:30～11:30、午後は要相
談",有,石川県,七尾市,37.050499,136.960983
松江産婦人科内科医院,925-0051,石川県羽咋市島出町フ６３－１,0767-22-2479,0,有,"土、平日 9:00～18:00
（木曜日休日）
（日曜祭日休日）",有,石川県,羽咋市,36.898624,136.774582
桑原母と子クリニック,926-0821,石川県七尾市国分町ラ部2番地１,0767-52-4103,www.kuwaharahahatoko.com,有,"平日 9:00～17:30
土曜 9:00～16:30 ※状況によ
り休日時間外の対応も可(要電話
確認)",有,石川県,七尾市,37.037556,136.949158
恵寿ローレルクリニック,926-8607,石川県七尾市富岡町９５番地,0767-57-5500,0,有,平日 9:00～17:00,無,石川県,七尾市,37.050499,136.960983
市立輪島病院,928-8585,石川県輪島市山岸町は１番１地,0768-22-2222,"http://city.wajima.ishikawa.jp
/wajimahp/",有,"平日 8:30～17:00
上記時間外は要連絡",有,石川県,輪島,37.384155,136.90535
公立穴水総合病院,927-0027,石川県鳳珠郡穴水町,(0768)52-0511,http://www.anamizu.jp/,有,"火曜日 8:30～17:15
水曜日 8:30～17:15
第２・第４土曜日 8:30～12:30",有,石川県,鳳珠郡穴水町,37.230873,136.912476
