施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
医療法人田村秀子婦人科医院,604-0825,"京都府京都市中京区御池通柳馬場西入御所八幡町
２２９番地",075-213-0523,https://tamura-hideko.com/,有,"平日8：00～19：00
土8：00～12：00",有,京都府,京都市中京区,35.015537,135.765793
いとう女性クリニック,604-8111,"京都府京都市中京区三条通高倉東入枡屋町５３－
１Ｄｕｃｅｍｉｘビルヂング３Ｆ",075-212-5662,http://ito-womens-clinic.com/,有,"日，火～土10：30～14：30
火水金16：00～19：00",有,京都府,京都市中京区,35.008492,135.749802
"医療法人細田レディースクリ
ニック",604-8381,"京都府京都市中京区西ノ京職司町69番地ＩＭＰＡ
ＣＴ ＩＫＵ1階",075-634-6123,http://www.hosodaladiesclinic.jp/,有,9：00～20：00,有,京都府,京都市中京区,35.011139,135.744415
医療法人保科医院,604-8032,"京都府京都市中京区西木屋町通六角下る山崎町２
５８番地",075-221-4775,https://www.hoshina-iin.com/,有,外来診療時間内,有,京都府,京都市中京区,35.014328,135.755753
清子クリニック,604-0965,"京都府京都市中京区柳馬場通二条上る６丁目２６
８番地",075-231-8816,http://www.kiyoko.site,有,"月火金9：00～17：00
水9：00～16：30
木土9：00～12：00",有,京都府,京都市中京区,35.004501,135.76561
足立病院,604-0837,京都府京都市中京区東洞院通二条下る鍵屋町481,075-221-7431,https://www.adachi-hospital.com/,有,外来診療時間内,無,京都府,京都市中京区,35.005558,135.760941
山元病院,604-8353,京都府京都市中京区岩上通蛸薬師下る宮本町795,075−801−3281,http://www.yamamoto-hospital.gr.jp,有,"月-土曜日 9：00-12：00
月・水・金曜日 13：30-15：00
月・火・木・金曜日 17：00-19：30
日曜日・祝日は時間指定で対応可",有,京都府,京都市中京区,35.005493,135.751251
ようこ女性のクリニック,605-0874,京都府京都市東山区常磐町460番地2,075-744-1266,https://yoko-ladies.jp/,有,外来診療時間内,有,京都府,京都市東山区,34.992603,135.775772
産科・婦人科 江川クリニック,605-0009,"京都府京都市東山区三条通大橋東入大橋町102番
地1 田中ビル4階",075-708-3627,https://egawaclinic-kyoto.com/,有,月火水金 9：00～13：30，16：30～19：30 土 9：00～13：30,有,京都府,京都市東山区,35.009525,135.776993
"医療法人社団洛和会 洛和会
音羽病院",607-8062,京都府京都市山科区音羽珍事町２番地,075-593-4111,http://www.rakuwa.or.jp/,有,9：00～17：00,有,京都府,京都市山科区,34.987526,135.829788
ＩＤＡクリニック,607-8011,京都府京都市山科区安朱南屋敷町３５番地ラクト,Ｄ６0階75-583-6515,http://ida-clinic.com/,有,外来診療時間内,有,京都府,京都市山科区,34.99054,135.817642
"医療法人社団恵仁会なぎ辻病
院",607-8163,京都府京都市山科区椥辻東潰5番地の1,075-591-1131,http://www.nagitsuji-hp.jp/,有,月～金 9：00～17：00,,京都府,京都市山科区,34.971233,135.813492
南部産婦人科医院,600-8894,京都府京都市下京区西七条市部町１３２番地,075-313-6000,http://www.nanbu-obgy.com/,有,"平日9：00～12：00，17：00～20：00
土日9：00～12：00
祝日 要電話",有,京都府,京都市下京区,34.990746,135.73558
"医療法人社団美友会産科・婦
人科松本クリニック",600-8452,"京都府京都市下京区西洞院通松原下る永倉町５５
８番地",075-341-4103,http://www.maia-matsumoto.com/,有,24時間,有,京都府,京都市下京区,34.998051,135.754974
医療法人種田産婦人科,600-8429,"京都府京都市下京区万寿寺通烏丸西入御供石町３
５７",075-351-5786,http://oida-hp.com/,有,外来診療時間内（緊急の場合は対応）,有,京都府,京都市下京区,34.996708,135.76709
"医療法人財団今井会足立病院
第二足立病院",601-8474,京都府京都市南区四ツ塚町１番地,075-681-7316,http://www.dainiadachi.or.jp/,有,外来診療時間内,有,京都府,京都市南区,34.97934,135.745956
"アキコ婦人科クリニック 京
都桂川",601-8601,"京都府京都市南区久世高田町３７６番地１イオン
モール京都桂川１階",075-924-3009,https://www.akiko-fujinka-clinic.com/,有,外来診療時間内,有,京都府,京都市,34.963566,135.707932
"医療法人馰野会京都駅前婦人
科乳腺外科まりこクリニック",601-8002,"京都府京都市南区東九条上殿田町４０番地６上殿
田ビル２階",075-574-7681,http://www.komanokai.jp,有,外来診療時間内,有,京都府,京都市南区,34.982803,135.758499
島岡医院,601-8469,京都府京都市南区唐橋平垣町６８,075-661-0740,http://www.shimaoka-ob-gy.minami.kyoto.jp/,有,"平日(水以外)9：30～12：30，17：00～19：00
土 9：30～12：30",有,京都府,京都市南区,34.980869,135.735565
嵯峨嵐山・田中クリニック,616-8421,"京都府京都市右京区嵯峨釈迦堂門前瀬戸川町４の
８",075-873-2925,https://www.sagaarashiyama-tanakaclinic.com/,有,外来診療時間内,有,京都府,京都市右京区,35.020737,135.677322
"医療法人産婦人科細田クリ
ニック",615-0883,京都府京都市右京区西京極南大入町88番地,075-322-0311,http://www.hosodaclinic.jp/,有,外来診療時間内,有,京都府,京都市右京区,34.996864,135.716415
医療法人柏木産婦人科,616-8174,京都府京都市右京区太秦垂箕山町１３－３,075-882-3800,http://www.kwh.jp/,有,24時間,有,京都府,京都市右京区,35.016617,135.699982
ささきクリニック,615-0934,京都府京都市右京区梅津北浦町３の１,075-861-1140,http://www.sasaki-cli.com/,有,外来診療時間内,有,京都府,京都市右京区,35.003201,135.699692
こうのレディースクリニック,616-8016,京都府京都市右京区龍安寺西ノ川町3-33,075-462-7707,http://www.kono-ladies-clinic.jp/,有,外来診療時間内,有,京都府,京都市右京区,35.026176,135.718872
"医療法人さとこレディスクリ
ニック",615-0011,京都府京都市右京区西院東淳和院町13－9ミスター,キー07ズ5-西32院5-10階2712号,http://www.satokoladies.com/,有,診察時間内,有,京都府,京都市右京区,35.005634,135.731659
"社会福祉法人京都社会事業財
団京都桂病院",615-8256,京都府京都市西京区山田平尾町１７番地,075-391-5811,http://katsura.com/,有,24時間,有,京都府,京都市西京区,34.982143,135.686646
医療法人倖生会身原病院,615-8227,京都府京都市西京区上桂宮ノ後町６－８,075-392-3111,https://www.mihara.com/,有,外来診療時間内,有,京都府,京都市西京区,34.990028,135.696472
井上産婦人科医院,615-8084,京都府京都市西京区桂坤町30‐4,075-381-4226,http://inouesanfujinka.com/,有,外来診療時間内,有,京都府,京都市西京区,34.981068,135.697769
あらきレディースクリニック,615-8074,京都府京都市西京区桂南巽町140番地内海ビル4階,075-382-2701,http://araki-lc.com/,有,外来診療時間内,有,京都府,京都市西京区,34.979782,135.701111
山口医院,610-1141,京都府京都市西京区大枝西新林町5丁目2番地,075-331-5595,http://yama-ob-gyn.com/,有,外来診療時間内,有,京都府,京都市西京区,34.967709,135.667953
"社会福祉法人浩照会伏見桃山
総合病院",612-8364,京都府京都市伏見区下油掛町895,075-621-1111,http://www.ajisai-kosyokai.com/hospital/,有,"月水9：00～13：00
土13：30～15：00",無,京都府,京都市伏見区,34.931686,135.759171
医療法人医仁会武田総合病院,601-1495,京都府京都市伏見区石田森南町２８－１,075-572-6331,https://www.takedahp.or.jp/,有,24時間,有,京都府,京都市,34.938694,135.803711
広瀬レディースクリニック,612-8083,京都府京都市伏見区京町２丁目２３４,075-611-3436,http://www.hirose-lc.com/,有,外来診療時間内,有,京都府,京都市伏見区,34.93074,135.765015
"医療法人社団中部産婦人科医
院",612-8141,京都府京都市伏見区向島二ノ丸町１５１－４４,075-622-7470,http://www.nakabe.or.jp/,有,外来診療時間内（時間外も可）,有,京都府,京都市伏見区,34.918434,135.769363
醍醐渡辺クリニック,601-1375,京都府京都市伏見区醍醐高畑町30-15,075-571-0226,https://www.d-w-c.jp/,有,外来診療時間内,有,京都府,京都市伏見区,34.949467,135.808624
池田産婦人科医院,612-8016,京都府京都市伏見区桃山町養斉２０－１２,075-601-7276,なし,有,外来診療時間内,有,京都府,京都市伏見区,34.928165,135.786209
医療法人 石原クリニック,612-0064,京都府京都市伏見区桃山毛利長門西町４７番地１,075-602-0030,https://www.ishihara-ldcl.jp/,有,外来診療時間内,有,京都府,京都市伏見区,34.9366,135.767914
"独立行政法人国立病院機構京
都医療センター",612-8555,京都府京都市伏見区深草向畑町１－１,075-641-9161,https://kyoto.hosp.go.jp/,有,平日午前8：30～10：30,有,京都府,京都市,34.953758,135.773926
ひらいクリニック,617-0006,京都府向日市上植野町南開34-34,075-921-0520,https://www.hiraiclinic-kyoto.jp/,有,"平日9:00-12:00 17:00-19:30
木・土曜9:00-12:00",有,京都府,向日市,34.939548,135.704514
婦人科内科山下クリニック,617-0002,京都府向日市寺戸町中垣内1,075-922-3733,http://yamashitaclinic.net/,有,"月・火・金9:00-12:00 17:00-19:00
水・土9:00ｰ12:00
木曜休診",有,京都府,向日市,34.952065,135.700027
"桂川洛西口産婦人科まりこク
リニック",617-0002,"京都府向日市寺戸町八ノ坪122 洛西口クリニッ
クビル3階",075-754-6961,https://www.komanokai.jp/,有,"月～木8:45-16:30
土8:45～12:00",有,京都府,向日市,34.963173,135.70546
"医療法人社団 ハシイ産婦人
科",617-0002,京都府向日市寺戸町七ノ坪170,075-924-1700,https://www.hashii-hp.jp/,有,"午前診：月～土9:00-11:30
夜診：月・火・水・金17:00-19:00",有,京都府,向日市,34.960232,135.704041
"医療法人和秀会 近藤産婦人
科医院",617-0823,京都府長岡京市長岡２丁目2-32,075-953-2000,https://www.kondo-sanfujinka.com/,有,月・火・水・金・土9:00-13:00 14:00-17:00,有,京都府,長岡京市,34.927185,135.689651
"医療法人社団一心会 都倉病
院",611-0021,京都府宇治市宇治山本27,0774-22-4521,http://tokura-hp.kotonet.com/,有,"月、水～金：9:00～18:00
火：9:00～20:00
土曜：9:00～12:00",有,京都府,宇治市,34.8951,135.811462
"医療法人社団石鎚会 田辺中
央病院",610-0334,京都府京田辺市田辺中央6-1-6,0774-63-1111,http://www.sekitetsukai.kyoto/index.html,有,"平日：8:30～17:00
土曜：8:30～13:00",有,京都府,京田辺市,34.822075,135.771851
"社会医療法人岡本病院（財
団）京都岡本記念病院",613-0034,京都府久世郡久御山町佐山西ノ口100番地,0774-48-5552,https://www.okamoto-hp.or.jp/oka2/,有,月、火、木～土：9:00～16:00,無,京都府,久世郡久御山町,34.875229,135.749161
あべじゅん婦人科,611-0013,京都府宇治市菟道荒槇1-50,0774-46-8639,http://abejun.net/,有,"平日：9:30～12:00、16:00～18:00
土曜：9:30～12:00",有,京都府,宇治市,34.89658,135.809631
"医療法人こじまレディースク
リニック",610-0357,京都府京田辺市山手東1-2-6,0774-64-3365,http://kojima-lc.net/,有,"月、水、金、土：9:00～13:00、
火：9:00～11:00
火、木、金：16:30～20:00",有,京都府,京田辺市,34.833584,135.728363
医療法人曽我産婦人科,611-0043,京都府宇治市伊勢田町大谷61-22,0774-20-0006,http://www.soga-maternity.jp/,有,24時間,有,京都府,宇治市,34.887257,135.781174
京都山城総合医療センター,619-0214,京都府木津川市木津駅前１丁目27,0774-72-0235,http://www.yamashiro-hp.jp,有,平日 8:30～17:15,"無（近隣薬局に
常備を依頼）",京都府,木津川市,34.736141,135.824203
華クリニック,619-0224,京都府木津川市兜台４丁目３－９,0774-72-2747,http://hana-cl.com/,有,"月～金 9:00～12:00
月・火・金 16:00～18:00",有,京都府,木津川市,34.727631,135.784225
いわたレディースクリニック,619-0223,"京都府木津川市相楽台１－１－１イオンモール高
の原３階",0774-39-3999,https://www.i-lc.jp/,有,"月・水・金・土 10:00～13:30
月・火・水・金 17:00～19:00",有,京都府,木津川市,34.725586,135.790634
"きゅうまウイメンズクリニッ
ク",619-0216,京都府木津川市州見台７丁目１－２８,0774-71-8163,http://www.west-kyoto.com/kwc/,有,"月～土 9:00～12:00
月～水 17:00～19:00",有,京都府,木津川市,34.715694,135.820724
下里医院,619-0231,京都府精華町山田下川原２２番地２,0774-72-1212,なし,有,"月・火・水・金・土 9:00～12:00
月・火・水・金 17:00～20:00",有,京都府,相楽郡精華町,34.73711,135.792191
