施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
"医療法人
平野医院",631-0821,奈良県奈良市西大寺東町二丁目1番52号,0742-33-3338,http://www.hiranoiin.org/,有,"平日､土曜 9:00～12:00
月･火･水･金 14:00～16:00",有,奈良県,奈良市,29201,34.69405,135.784775
ひらのレディースクリニック,631－0824,"奈良県奈良市西大寺南町5－26 T・Kビル西大寺
SOUTH 4階",0742－52－0500,https://hirano-ladies-clinic.jp,有,"平日 9：00～12：00、16：00～20：00（木以外）
土 9：00～13：00",有,奈良県,奈良市,29201,34.690617,135.782288
"医療法人白鳳会
林産婦人科登美ヶ丘",630-0115,奈良県生駒市鹿畑町55番1,0743-70-0339,http://hakuhoukai.or.jp,有,"平日 9:00～12:00､17:30～20:00
土曜 9:00～12:00",有,奈良県,生駒市,29209,34.729382,135.754196
生駒市立病院,630-0213,奈良県生駒市東生駒１丁目6番地2,0743-72-1111,https://ikoma.tokushukai.or.jp/,有,"平日 9:00～17:00
土曜 9:00～12:00",有,奈良県,生駒市,29209,34.690994,135.711319
榎本レディースクリニック,630-0245,奈良県生駒市北新町10番36-405号,0743-72-1005,http://enemoto-lc.com/,有,"月･火･水･金 9:30～12:30､16:00～19:00
木･土 9:30～12:30",有,奈良県,生駒市,29209,34.694305,135.697128
"医療法人
好川婦人科クリニック",630-0258,奈良県生駒市東新町4番20号石丸ビル101号,0743-75-8600,http://www1.kcn.ne.jp/-chap-lin/,有,"平日 9:00～12:00､17:00～20:00(木曜は午前のみ)
土曜 9:00～12:00､13:30～15:30",有,奈良県,生駒市,29209,34.692825,135.702591
辻村医院,639-1134,奈良県大和郡山市柳町198の2,0743-52-2718,,有,"平日8:30～12:00､16:00～18:30
土曜8:15～12:00
木･日･祝 休診",有,奈良県,大和郡山市,29203,34.643726,135.784271
"三橋仁美レディースクリニッ
ク",639-1142,奈良県大和郡山市矢田町通19,0743-51-1135,"http://www1.mahoroba.ne.jp/-ykmao/hp/mit
suhasihitomi/",有,"月･火･水･木･金･土 9:00～12:00
月･火･木･金は夜診もあり 16:30～19:30",有,奈良県,大和郡山市,29203,34.647018,135.784454
"医療法人ますだ産婦人科
明日香ウイメンズ・クリニッ
ク",634-0064,奈良県橿原市見瀬町607番地の2,0744-28-3511,http://www.asuka-wcl.com,有,"月･火･水･金･土 9:00～13:00､16:30～19:00
水･土 9:00～13:00",有,奈良県,橿原市,29205,34.473621,135.796722
酒本産婦人科医院,634-0804,奈良県橿原市内膳町4丁目4番26号,0744-25-3389,http://www.sakamoto-sanfujinka.com/,有,"月･火･水･金･土 9:30～12:30
月･水･金 17:00～19:00
土 16:00～18:00",有,奈良県,橿原市,29205,34.5149,135.791702
"医療法人平治会 ミズクリ
ニック メイワン",634－0813,奈良県橿原市四条町871－1,0744－20－0028,https://www.mscl-mayone.com,有,"火･金･土 10:00～13:00､16:00～19:00
月･木 10:00～13:00",有,奈良県,橿原市,29205,34.504318,135.794937
"医療法人母と子の城
久産婦人科内科",636-0304,奈良県磯城郡田原本町大字十六面23番地の1,0744-33-3110,https://hisa.or.jp/,有,"平日 9:00～12:00､17:30～19:30
土曜 9:00～12:00
木曜休診",有,奈良県,磯城郡田原本町,29363,34.553295,135.785797
内藤医院,633-0091,奈良県桜井市大字桜井996番地,0744-42-2138,https://www.naitoh-iin.jp/,有,"月･火･水･金･土 9:00～12:00
火･金 14:00～15:00
月･水･金 17:00～19:00",有,奈良県,桜井市,29206,34.509663,135.852539
"医療法人
赤崎クリニック",633-0053,奈良県桜井市谷111番地,0744-43-2468,https://akasaki-clinic.net/,有,"平日 9:00～12:00、17:00～20:00
土曜 9:00～12:00",有,奈良県,桜井市,29206,34.512119,135.84259
"医療法人社団清心会
桜井病院",633-0091,奈良県桜井市桜井973番地,0744-43-3541,http://www.sakurai-hp.com,有,"平日 9:00～16:30
土曜 9:00～12:00
日曜･祝日 10:00～18:00",有,奈良県,桜井市,29206,34.511341,135.846313
上田クリニック,633-0062,奈良県桜井市粟殿468-18,0744-43-2006,http://uedaclinic.cihp2.jp/,有,"月･火･水･金 9:00～12:00､17:00～19:30
木･土 9:00～12:00",有,奈良県,桜井市,29206,34.519718,135.842468
大和高田市立病院,635-8501,奈良県大和高田市礒野北町１番1号,0745-53-2901,www.ym-hp.yamatotakada.nara.jp,有,平日 8:30～17:00,有,奈良県,大和高田市,29202,34.51054,135.736908
"医療法人白鳳会
林産婦人科五位堂",639-0223,奈良県香芝市真美ヶ丘1丁目13番27号,0745-71-5201,http://hakuhoukai.or.jp/,有,"月･水･金 9:00～12:00､17:30～20:00
火･木･土 9:00～12:00",有,奈良県,香芝市,29210,34.542225,135.719223
"医療法人輝曜会
別府レディースクリニック",636-0003,"奈良県北葛城郡王寺町久度2-3-1りーべる王寺西館
3F",0745-34-2000,http://beppu-ladies-clinic.p2.bindsite.jp,有,"平日 8:30～13:00､15:00～18:00
土曜 8:30～13:00",有,奈良県,北葛城郡王寺町,29425,34.598026,135.702911
"医療法人白鳳会
林産婦人科",636-0011,奈良県北葛城郡王寺町葛下1丁目9番1号,0745-73-3301,http://hakuhoukai.or.jp,有,"月 17:00～19:00
火 17:30～20:00
金 9:00～12:00",有,奈良県,北葛城郡王寺町,29425,34.591095,135.710098
KENレディースクリニック,636-0123,奈良県生駒郡斑鳩町興留4-10-14 1階,0745-74-0008,https://ken-lc.jp,有,"月･火･水･金 8:30～12:00、15:30～19:00
木･土 8:30～12:00",有,奈良県,生駒郡斑鳩町,29344,34.602863,135.73735
"医療法人
なんのレディースクリ
ニック",636-0123,奈良県生駒郡斑鳩町興留5-14-8,0745-75-5623,http://nanno-lc.com/,有,"月･火･水･木･金･土 9:00～12:30
水 16:30～18:00
月･火･金 16:30～19:30",有,奈良県,生駒郡斑鳩町,29344,34.603374,135.739944
"医療法人八甲会
潮田病院",639-3111,奈良県吉野郡吉野町下市2135,0746-32-3381,WWW.ushioda-hospital.or.jp,有,月･火･金 9:00～17:00,無,奈良県,吉野郡吉野町,29441,34.396046,135.857605
