施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
独立行政法人国立病院機構 千葉医療センター,260-8606,千葉県千葉市中央区椿森４－１－２,043-251-5311,https://chiba.hosp.go.jp/,有,平日8:30-17:15 (平日時間外、土日・祝日は要相談),有,千葉県,千葉市,35.622017,140.121582
医療法人弘仁会 板倉病院,273-0005,千葉県船橋市本町２－１０－１,047-431-2662,https://www.itakura.or.jp,有,平日(月・火・木・金)10:30-17:00,有,千葉県,船橋市,35.697659,139.982834
医療法人社団翠明会 山王病院,263-0002,千葉県千葉市稲毛区山王町１６６－２,043-421-2221,http://www.sannou.or.jp/,有,終日,有,千葉県,千葉市稲毛区,35.666714,140.139252
最成病院,262-8506,千葉県千葉市花見川区柏井町８００－１,043-258-1211,https://www.saisei.or.jp,有,月・木・金・土 9:30-12:00,有,千葉県,千葉市,35.689148,140.104141
圭春会 小張総合病院,278-8501,千葉県野田市横内２９－１,04-7124-6666,http://www.kobari.or.jp/,有,"午前8:15-11:00 (午後は原則予約診療のみ、緊急の場合は要相談)
休診日 月～土曜日の午後、日曜日、祝日",有,千葉県,野田市,35.951538,139.878311
川﨑レディースクリニック,270-0114,千葉県流山市東初石４－１３５－３８,04-7155-3451,kawasaki-ladys.com,有,平日9:00-18:00 土9:00-12:00 (木・日・祝祭日は休診),有,千葉県,流山市,35.886448,139.920761
宗ウィメンズクリニック,277-0005,千葉県柏市柏３－５－１６,04-7164-6105,so-womens-cl.com,有,月・火・木・金9:00-11:30 14:00-16:30 水・土9:00-11:30,有,千葉県,柏市,35.860355,139.97493
おおしおウィメンズクリニック,279-0002,千葉県浦安市北栄１－５－２３,047-354-5551,http://www.oshio-w-c.net/,有,２４時間３６５日（祝日はのぞく）,有,千葉県,浦安市,35.66618,139.895248
検見川ウィメンズクリニック,262-0023,千葉県千葉市花見川区検見川町５－２０８２－８,043-273-2233,http://kemigawa-c.com,有,月・火・水・金8:45-12:30 14:00-18:00 木・土8:45-12:30,有,千葉県,千葉市花見川区,35.646515,140.072128
宗田マタニティクリニック,290-0024,千葉県市原市根田３２０－７,0436-24-4103,http://www.muneta.org,有,平日・土日 ２４時間,有,千葉県,市原市,35.50518,140.106125
みねた婦人科クリニック,267-0066,"千葉県千葉市緑区あすみが丘１－１９－２ 大森
ビル３Ｆ",043-309-7113,,有,月・木・土曜日 9：00-12:00 15:00-17:00,有,千葉県,千葉市緑区,35.529209,140.270157
レディースクリニックＫ,271-0077,千葉県松戸市根本４５３－３,047-703-7811,lck.jp,有,平日9:45-17:40(初診) 土曜・第1日曜 9:45-13:40(初診),有,千葉県,松戸市,35.786079,139.902176
医療法人鉄蕉会 亀田クリニック,296-0041,千葉県鴨川市東町１３４４,04-7099-2211,http://www.kameda.com,有,"月～土8:00-10:30 (上記時間以外、及び日曜・祝日は亀田総合病院
救急外来で受付)",有,千葉県,鴨川市,35.120834,140.127213
春成祥子レディースクリニック,285-0817,千葉県佐倉市大崎台１－９－２,043-483-0303,http://www.harunari.com/index.html,有,火・水・金9:00-12:00 15:30-17:30 月・土9:00-12:00,有,千葉県,佐倉市,35.707954,140.229431
真希レディースクリニック,275-0016,千葉県習志野市津田沼１－２－８,047-403-1177,http://www.maki-ladiesclinic.com,有,"月・火・金9:30-12:30 14:00-18:30 水・木・第1日曜 9:30-
12:30 土9:30-12:30 14:00-16:30",有,千葉県,習志野市,35.690521,140.021713
医療法人社団良友会 ひきたクリニック,289-1106,千葉県八街市榎戸６５６－４,043-444-7300,http://www.hikita-clinic.co.jp/,有,平日9:00-12:00 15:00-17:30 木・土9:00-12:00,有,千葉県,八街市,35.678497,140.296463
藤縄産婦人科医院,276-0045,千葉県八千代市大和田２９１,047-482-2407,なし,有,月・火・木・金9:00-12:00 14:00-16:00 水・土9:00-12:00,有,千葉県,八千代市,35.712994,140.105728
松岸レディスクリニック,286-0048,千葉県成田市公津の杜３－４３－１,0476-27-0303,0,有,平日9:00-12:00 15:00-17:00 土9:00-12:00,有,千葉県,成田市,35.758682,140.299149
北島産婦人科医院,273-0003,千葉県船橋市宮本２－２－２,047-424-6266,0,有,平日9:00-18:30 土曜9:00-12:00,有,千葉県,船橋市,35.696571,139.991531
メープル木更津クリニック,292-0831,千葉県木更津市富士見２－３－２,0438-40-5240,0,有,日・土9:00-11:30 14:00-16:00 月・木14:00-18:30,有,千葉県,木更津市,35.381268,139.920624
医療法人社団 そうクリニック,284-0001,千葉県四街道市大日７４１－３,043-424-1103,www.sou-clinic.com,有,月・水・金9:00-11:30 14:00-16:30 火・土・日9:00-11:30,有,千葉県,四街道市,35.684208,140.160706
医療法人社団育慈会 岩佐産婦人科医院,283-0041,千葉県東金市廣瀬１７３番地,0475-58-6000,0,有,9:00-12:00 14:00-17:00 休診：日・祝・木,有,千葉県,東金市,35.537834,140.390427
木村医院,287-0002,千葉県香取市北２－４－４,0478-52-2032,0,有,平日8:30-11:30 14:00-17:30 土8:30-11:30 14:00-17:30,有,千葉県,香取市,35.897263,140.493042
大川レディースクリニック,271-0051,千葉県松戸市馬橋１９０２,047-341-3011,https://www.okawa-hospital.jp,有,平日8:30-12:00 14:30-17:00 土8:30-12:00,有,千葉県,松戸市,35.811756,139.920059
医療法人社団 わたなべ医院東松戸,270-2225,千葉県松戸市東松戸２－２６－１,047-711-8366,https://www.watanabeiinhigashimatudo.com/,有,"月・木9:00-11:30 15:00-17:30 火15:00-17:30 土9:00-
12:00 15:00-17:00",有,千葉県,松戸市,35.769169,139.942657
本八幡レディースクリニック,272-0021,"千葉県市川市八幡３－３－３ ターミナルシティ
本八幡アイビスＢ１Ｆ",047-322-7755,http://www.motoyawata-lc.com/,有,平日9:30-19:00 土9:30-13:00 日・祝は休み,有,千葉県,市川市,35.723213,139.927185
稲毛とらのこ産婦人科,263-0043,千葉県千葉市稲毛区小仲台２－３－１５,043-285-1110,toranoco.net,有,外来の時間帯,有,千葉県,千葉市稲毛区,35.636852,140.09404
さち子レディースクリニック,279-0002,千葉県浦安市北原３－３４－１６,047-351-0303,0,有,"平日(月・火・木・金)9:00-12:30 15:00-18:00 土9:00-12:30
14:00-17:00 (基本的には予約制)",有,千葉県,浦安市,35.666008,139.895493
医療法人社団厚友会 露仙堂クリニック,276-0020,"千葉県八千代市勝田台北１－１０－９ ＣＲＥＡ
勝田台２Ｆ",047-486-8643,http://www5a.biglobe.ne.jp/-rosendo/,有,月・金9:30-12:00 15:30-18:00 火・木・土9:30-12:00,有,千葉県,八千代市,35.715313,140.123169
医療法人社団愛弘会 みらいウィメンズクリニック,270-1335,千葉県印西市原４－２－２,0476-40-1200,http://miraiwcl.com,有,平日9:00-13:00 15:00-18:00 土9:00-13:00 14:00-17:00,有,千葉県,印西市,35.799999,140.160919
中川産婦人科,263-0031,千葉県千葉市稲毛区稲毛東３－８－２０,043-243-9249,www.lc-nakagawa.or.jp,有,平日9:00-18:00 土9:00-18:00,有,千葉県,千葉市稲毛区,35.636349,140.090775
遠藤レディースクリニック,270-1166,千葉県我孫子市我孫子１－１３－６ ２Ｆ,04-7199-8702,endoclinic.mamacaremail.info,有,平日9:00-12:30 15:00-18:30 土9:00-13:00,有,千葉県,我孫子市,35.873684,140.012192
宇田川婦人科,262-0025,千葉県千葉市花見川区花園１－１９－７,043-271-2604,udagawa-fujinka.com,有,"平日9:00-11:30 14:30-16:30 土9:00-11:30 (水・日・祝祭日は
不可)",有,千葉県,千葉市花見川区,35.653008,140.075623
医療法人社団 宏成医院,272-0035,千葉県市川市新田４－２－６,047-377-2326,0,有,月・火・水・金・土9:00-12:00 15:00-18:30 日9:00-12:00,有,千葉県,市川市,35.726772,139.91095
なりやまクリニック,273-0866,千葉県船橋市夏見台１－１８－７,047-406-6266,http://www.nariyama-clinic.jp,有,平日 月・水・金9:00-12:00 14:00-17:30 火・土9:00-12:00,有,千葉県,船橋市,35.718834,139.989792
増田産婦人科,289-2144,千葉県匝瑳市八日市場イ２８３７,0479-73-1100,www.masuda-sanfujinka.jp,有,２４時間対応可、祝・休日対応可,有,千葉県,匝瑳市,35.700459,140.547867
流山東部診療所,270-0145,千葉県流山市名都借９０９－１,04-7147-7878,0,有,水・土9:00-16:30,有,千葉県,流山市,35.844135,139.941025
伊予クリニック,264-0006,千葉県千葉市若葉区小倉台６－９－１,043-231-0527,http://www.myclinic.ne.jp/iyoclinic/pc,有,9:00-11:30 15:00-18:30 火曜午後、土曜午後、日祝日は休診,有,千葉県,千葉市若葉区,35.631142,140.179047
本田産婦人科クリニック,273-0105,千葉県鎌ヶ谷市鎌ヶ谷１－５－７９,047-446-0733,0,有,"月・火・水・金9:00-12:00(受付11:30迄) 14:00-18:00(受付17:30
迄) 木・土9:00-12:00(受付11:30迄) 日・祝休診",有,千葉県,鎌ケ谷市,35.759132,140.012085
医療法人社団聖順会 ジェノ・ヴェスタクリニック八田,270-2267,千葉県松戸市牧の原２番地９２,047-385-3281,http://juno-vesta-clinic-hatta.net/,有,"月・土9:00-14:00 火・木・金9:00-13:00 15:00-18:00
(第2土曜、日曜、祝日を除く)",有,千葉県,松戸市,35.793652,139.951706
四季ウィメンズクリニック,277-0862,千葉県柏市篠籠田１１２４－１,04-7147-1222,0,有,月・木・金・土9:00-17:00 火9:00-12:30,有,千葉県,柏市,35.870209,139.953369
医療法人社団 もりかわ医院,299-4616,千葉県いすみ市岬町長者１７７,0470-87-3347,https://morikawa-clinic.jp/wp/,有,月・火・金・土8:30-17:00 水・木8:30-12:00,有,千葉県,いすみ市,35.295349,140.389313
医療法人社団ともみ会 高橋レディースクリニック,285-0858,"千葉県佐倉市ユーカリが丘４－１－１ イースト
タワー２Ｆ",043-463-2129,www.takahashi-lady.com,有,平日9:00-17:00 土9:00-12:00 日・祝日・水曜は休診,有,千葉県,佐倉市,35.724117,140.155167
都賀レディースクリニック,264-0026,千葉県千葉市若葉区西都賀１－７－６,043-255-2771,0,有,月・水・金9:00-11:45 14:30-17:15 火・土・日9:00-11:45,有,千葉県,千葉市若葉区,35.63451,140.14534
小野寺産婦人科,260-0044,千葉県千葉市中央区松濤２－１２－１０,043-251-7520,0,有,月・火・水・金・土9:30-11:30 14:30-16:30 木9:30-11:30,有,千葉県,千葉市中央区,35.589848,140.149567
Ｋレディースクリニック,273-0864,"千葉県船橋市北本長ー３－１ Ｋメディカルモー
ル２０４",047-426-3133,www.k-ladies-clinic.com/,有,月・火・木・金・土9:00-12:00 月・木・土15:00-18:00,有,千葉県,船橋市,35.710369,139.98204
稲毛バースクリニック,263-0043,千葉県千葉市稲毛区小仲台６－４－１５,043-287-1355,0,有,"月～土9:00-12:00 月・水・金15:00-17:30 祝日診療有(要TEL確
認)",有,千葉県,千葉市稲毛区,35.63929,140.091217
Ｗクリニックフォーマザーズ幕張,262-0033,千葉県千葉市花見川区幕張本郷２－３７－１７,043-298-1100,http://www.myclinic.ne.jp/,有,月・木・金9:00-18:00 火・土9:00-12:00,有,千葉県,千葉市花見川区,35.668449,140.0448
医療法人社団康知会 富岡産婦人科医院,270-0021,千葉県松戸市小金原６－８－１１,047-342-1078,https://tomlc.com,有,平日9:00-16:30 土曜9:00-16:30,有,千葉県,松戸市,35.816906,139.947937
成尾医院,285-0846,千葉県佐倉市上志津１５６９－５０,043-462-6400,0,有,月～土9:00-12:00 月・水・金14:00-18:00,有,千葉県,佐倉市,35.712883,140.14418
たじま産婦人科,263-0043,千葉県千葉市稲毛区小仲台６－３－７,043-251-8197,http://www.tajima-lc.jp/,有,平日9:00-12:00 15:00-18:00 土9:00-12:00,有,千葉県,千葉市稲毛区,35.638657,140.092422
塚本産婦人科,299-1152,千葉県君津市久保４－８－８,0439-55-5100,0,有,月・火・木・金9:00-11:30 14:00-16:30 水・土9:00-11:30,有,千葉県,君津市,35.328243,139.905792
医療法人社団あけぼの会 遠藤内科医院,289-1115,千葉県八街市八街ほ８３６－２,043-443-3721,なし,有,月・火・水・金8:30-11:00 15:30-17:00 木・土8:30-11:00,有,千葉県,八街市,35.663361,140.307068
河宇産婦人科,283-0063,千葉県東金市堀上３５－１,0475-52-4371,なし,有,"月・水・金9:00-12:00 15:00-17:30 火・木9:00-12:00 土
9:00-12:00 15:00-17:00",無,千葉県,東金市,35.554077,140.368454
野井レディースクリニック,260-0842,千葉県千葉市中央区南町２－１４－１４,043-261-4103,http://noi-ladies.jp,有,"月・火・木・金10:00-13:00 15:00-18:00 土10:00-13:00
15:00-18:00",有,千葉県,千葉市中央区,35.58115,140.134003
中野レディースクリニック,277-0005,千葉県柏市柏２－１０－１１－１Ｆ,04-7162-0345,www.nakano-lc.com,有,"月・水・金8:30-12:30 14:30-17:00 17:30-19:00 火・木
8:30-12:30 14:30-17:00 土8:30-12:30",有,千葉県,柏市,35.862011,139.974014
医療法人社団竹生会 小泉産婦人科医院,270-0013,千葉県松戸市小金きよしヶ丘１－１２－１６,,http://www.koizumi-clinic.or.jp/,有,平日9:00-17:00 火・土9:00-12:00 木・日・祝日：休診,有,千葉県,松戸市,35.832794,139.934372
作永産婦人科,297-0021,千葉県茂原市高師町１－５－５,0475-24-8822,sakunaga.jp,有,月・水・金9:00-12:30 14:00-16:30 火・土9:00-12:30,有,千葉県,茂原市,35.429031,140.299652
医療法人社団健生会 杉﨑クリニック,278-0005,千葉県野田市宮崎５６－２３,04-7125-1070,sugisaki-cl.or.jp,有,平日9:00-17:50 土曜9:00-12:30,有,千葉県,野田市,35.950668,139.873856
医療法人社団 重城産婦人科小児科,292-0003,千葉県木更津市万石３５８,0438-41-3700,0,有,月・火・水・金・土9:00-18:00 (木曜・祝祭日休診),有,千葉県,木更津市,35.416447,139.932358
弓立産婦人科,286-0221,千葉県富里市七栄６４６,0476-93-8272,0,有,平日9:00-12:00 15:00-17:30 木・土・日10:00-12:00,有,千葉県,富里市,35.735256,140.330078
駒医院,292-0056,千葉県木更津市木更津３－２－２８,0438-23-5311,なし,有,月・水・金・土9:00-12:00 15:00-18:00 火・木9:00-12:00,有,千葉県,木更津市,35.381035,139.935272
医療法人社団三恵会 育生医院,297-0024,千葉県茂原市八千代２－１２－１４,0475-25-1251,web-clover.net/ikuseiiin/,有,"月・水・金9:00-11:30 15:00-17:00 火・土9:00-11:30
日・祝休診",有,千葉県,茂原市,35.423309,140.294373
医療法人社団順裕会 クリニック ソワニエ,270-2231,千葉県松戸市稔台７－２－１８,047-308-3008,www.clinique-soigner.jp,有,月・水・木9:30-17:30 金・土9:30-12:30,有,千葉県,松戸市,35.788143,139.928787
医療法人社団マザー・キー なのはなクリニック,260-0856,千葉県千葉市中央区井鼻ー２－３,043-222-1135,http://nanohana-clinic.jp/,有,月・火・水・金9:00-12:00 15:00-19:00 土9:00-12:00,有,千葉県,千葉市中央区,35.609001,140.124588
石黒医院,272-0133,千葉県市川市行徳駅前１－２－２,047-357-2196,0,有,平日9:00-17:45 土曜9:00-12:30 木・日・祝日休診,有,千葉県,市川市,35.685379,139.916306
とけレディースクリニック,267-0066,千葉県千葉市緑区あすみが丘３丁目４番地３,043-295-4103,http://tokelc.com,有,平日9:00-16:30 土曜9:00-16:30,有,千葉県,千葉市緑区,35.528782,140.267853
清川医院,294-0045,千葉県館山市北条１５４８,0470-23-7731,https://kiyokawa-iin.jp,有,全時間帯対応(17:00-9:00は一度電話下さい),有,千葉県,館山市,34.991711,139.865005
医療法人社団豊修会 パークシティ吉田レディースクリニック,279-0014,千葉県浦安市明海５－７－５,047-316-3321,http://www.yoshida-ladies.com,有,月・火・水・金9:00-12:30 15:00-18:30 木・土9:30-12:30,有,千葉県,浦安市,35.639702,139.927872
アイレディースクリニック,270-0235,千葉県野田市尾崎１４６４,04-7137-7661,http://www.i-ladies.jp,有,"月・火・水・金8:30-12:00 15:00-17:30 木8:30-12:00 土
8:30-12:30",有,千葉県,野田市,35.989239,139.83139
ファミール産院きみつ,299-1127,千葉県君津市郡１－５－４,0439-57-1135,http://www.famil-s-kimitsu.com/,有,平日9:00-17:00 木曜9:00-12:00,有,千葉県,君津市,35.308617,139.913422
尾﨑クリニック,286-0011,千葉県成田市玉造７－２４－４,0476-28-8511,0,有,火・水・金・土9:00-12:00 14:00-17:00,有,千葉県,成田市,35.7925,140.290863
秋津産科婦人科,275-0025,千葉県習志野市秋津５－１２－１,047-452-3541,0,有,"月・火・水・金9:00-12:00 14:00-17:00 土・日9:00-12:00
木曜・祭日は休診",有,千葉県,習志野市,35.672691,140.010117
医療法人社団鎮誠会 千葉きぼーるクリニック,260-0013,千葉県千葉市中央区中央４－５－１,043-201-6600,www.josn.jp,有,火～金9:00-12:00 14:30-17:30,有,千葉県,千葉市中央区,35.607548,140.12233
医療法人社団 わたなべ医院,272-0803,千葉県市川市奉免町２０１－５,047-339-7033,http://watanabeiin.xsrv.jp/,有,"月・火・木・金9:00-11:30 15:00-17:30 土9:00-11:30
15:00-16:30",有,千葉県,市川市,35.739597,139.954605
医療法人緑生会 あびこクリニック,270-1166,千葉県我孫子市我孫子４－３－２５,04-7184-0321,www.abiko-clinic.or.jp,有,"平日・土曜9:00-11:45 15:00-17:45 日曜9:00-11:45 祝日休
診",有,千葉県,我孫子市,35.875069,140.009964
木下婦人科医院,264-0004,千葉県千葉市若葉区千城台西２－４－５,043-237-7418,0,有,平日9:00-17:00 土曜9:00-12:00,有,千葉県,千葉市若葉区,35.621231,140.186035
医療法人社団志成会 ロイヤルクリニック,292-0045,千葉県木更津市清見台３－６－５,0438-25-6840,0,有,月・水・土9:00-12:00 火・木・金9:00-12:00 14:00-18:00,有,千葉県,木更津市,35.379776,139.945572
鈴木医院,277-0843,千葉県柏市明原４－３－１９,04-7144-2972,なし,有,月～土9:00-11:30,有,千葉県,柏市,35.865536,139.961975
有秋台医院,299-0125,千葉県市原市有秋台西１－７,0436-66-3838,http://yushudai-obgy.com/#,有,"月・火・木・金9:00-11:30 15:00-17:30 土9:00-11:30
15:00-16:30",有,千葉県,市原市,35.451927,140.052032
医療法人社団恵生会 三枝医院,297-0015,千葉県茂原市東部台２－２０－１,0475-25-2203,http://sites.google.com/view/keiseikai-saegusaclinic,有,平日(月・火・金)9:00-18:00 土曜9:00-17:00,有,千葉県,茂原市,35.421375,140.321716
千葉レディースクリニック,260-0015,"千葉県千葉市中央区富士見１－１４－１１ 常盤
ビル４階",043-221-3000,http://chibaladiesclinic.com,有,月・火・金10:00-12:15 15:00-18:15 水・土10:00-14:15,有,千葉県,千葉市中央区,35.611355,140.11882
オーククリニック フォーミズ病院,271-0072,千葉県松戸市竹ヶ花５０番地の３,047-703-1112,http://www.oak-clinic.com/,有,"月～火 9：00-17：00 木～土 9：00-17：00
（水、日、祝日不可）",有,千葉県,松戸市,35.789677,139.904709
医療法人社団 佐野産婦人科医院,,千葉県浦安市当代島１丁目３番２２号,047-352-5705,sanolc.com,有,"月・火・水・金 9：00-12：00 15：00-17：00
木・土 9：00-12：00",有,千葉県,浦安市,35.667046,139.892487
医療法人社団 おおたかの森ウィメンズケアクリニック,270-0139,千葉県流山市おおたかの森南二丁目１５番地の１,04-7178-8877,http://owcc.jp/,有,"平日 8：30-12：00 14：00-17：00
土曜 8：45-15：30",有,千葉県,流山市,35.866978,139.925964
医療法人社団成和会山口病院,273-0031,千葉県船橋市西船5-24-2,047-335-1072,https://www.ywh.or.jp/index,有,祝日除く、月曜－土曜日の8:30-11:30、13：30-15：00,有,千葉県,船橋市,35.709953,139.95575
