施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
"医療法人社団明芳会 板橋中
央総合病院",174-0051,東京都板橋区小豆沢２－１２－７,03-3967-1181,https://www.ims-itabashi.jp/,有,平日 8：00-11：30,有,東京都,板橋区,13119,35.775574,139.696747
板橋区医師会病院,175-0082,東京都板橋区高島平３－１２－６,03-3975-8151,http://www.itabashi-med.jp/,"有
産婦人科",平日・土 8：30-11：00,無,東京都,板橋区,13119,35.786076,139.657852
"医療法人社団成和会 産婦人
科病院成増産院",175-0094,東京都板橋区成増１－１－１,03-3975-1111,http://www.narimasu.or.jp,有,"月・火・水・金・土 9：00-17：00
木 9：00-12：00",有,東京都,板橋区,13119,35.774113,139.634583
"順天堂大学医学部附属練馬病
院",177-8521,東京都練馬区高野台３－１－１０,03-5923-3111,https://www.juntendo.ac.jp/hospital_nerima/,有,24時間,有,東京都,練馬区,13120,35.742813,139.614899
"医療法人社団 久保田産婦人
科病院",178-0063,東京都練馬区東大泉３－２９－１０,03-3922-0262,https://www.kubota-hosp.jp/,有,"平日 9：00-11：30 14：00-16：30
土 9：00-11：30",有,東京都,練馬区,13120,35.752533,139.586029
"医療法人社団苑田会 苑田第
一病院",121-0813,東京都足立区竹の塚４－１－１２,03-3850-5721,http://www.sonodakai.or.jp/shisetu/so1.html,有,"平日 9：00-12：00
土 9：00-12：00",有,東京都,足立区,13121,35.793526,139.802277
"医療法人社団向日葵会まつし
ま病院",132-0031,東京都江戸川区松島1-41-29,03-3653-5541,http://www.matsushima-wh.or.jp/,有,"平日9-17時
土曜日9-13時",有,東京都,江戸川区,13123,35.706581,139.867004
"医療法人社団理弘会 岩倉病
院",133-0056,東京都江戸川区南小岩７－２８－４,03-3659-3215,https://www.iwakura-byoin.com/,有,"平日 9：00-18：45
土 9：00-16：45",有,東京都,江戸川区,13123,35.732487,139.883194
"医療法人社団 米山産婦人科
病院",192-0065,東京都八王子市新町２－１２,042-642-5225,http://www.yoneyama-hp.jp,有,平日・土・日・祝 9：00-17：00,有,東京都,八王子市,13201,35.660992,139.340668
医療法人社団 大聖病院,197-0011,東京都福生市福生８７１,042-551-1311,,有,"月・火・水・木 9：00-16：00
金・土 9：00-12：00",有,東京都,福生市,13218,35.742599,139.330505
公立福生病院,197-8511,東京都福生市加美平１－６－１,042-551-1111,www.fussahp.jp,有,24時間,有,東京都,福生市,13218,35.747074,139.326569
稲城市立病院,206-0801,東京都稲城市大丸１１７１,042-377-0931,http://www.hospital.inagi.tokyo.jp,有,平日 8：30-17：00,有,東京都,稲城市,13225,35.641563,139.481995
医療法人財団 立川中央病院,190-0023,東京都立川市柴崎町２－１７－１４,042-522-7171,http://www.tactis.or.jp,有,平日 8：30-11：30 13：00-16：00,無,東京都,立川市,13202,35.695633,139.406891
"社会医療法人財団大和会 武
蔵村山病院",208-0022,東京都武蔵村山市榎１－１－５,042-566-3111,http://www.yamatokai.or.jp/musasimurayama/,有,月～土 8：30-11：00 受付時間,有,東京都,武蔵村山市,13223,35.746552,139.385162
"医療法人社団新愛会 東府中
病院",183-0005,東京都府中市若松町２－７－２０,042-364-0151,http://higashifuchu-hp.jp/,有,月～土 9：00-17：00,有,東京都,府中市,13206,35.671829,139.494659
医療法人社団 飯野病院,182-0024,東京都調布市布田４－３－２,042-483-8811,http://www.iino-hospital.or.jp,有,月・火・水・金・土 9：00-11：30 13：30-16：00,有,東京都,調布市,13208,35.650803,139.544724
"医療法人社団桐光会 調布病
院",182-0034,東京都調布市下石原３－４５－１,042-484-2626,http://www.tokokai.or.jp/,有,"平日 8：20-12：30 13：30-16：00
土 8：20-12：30",有,東京都,調布市,13208,35.650974,139.53273
"医療法人社団時正会 佐々総
合病院",188-0011,東京都西東京市田無町４－２４－１５,042-461-1535,http://www.sasa-hospital.com/,有,"平日 9：00-16：00
土 9：00-11：30",有,東京都,西東京市,13229,35.729767,139.538803
"医療法人社団レニア会 篠宮正
明記念アルテミスウイメンズホ
スピタル",203-0054,東京都東久留米市中央町１－１－２０,042-472-6111,http://www.artemis.tokyo/,有,"月・火・水・金 9：00-12：00 14：00-17：00
木・土 9：00-12：00",有,東京都,東久留米市,13222,35.757431,139.527313
"一般財団法人健康医学協会附
属 霞が関ビル診療所",100-6003,東京都千代田区霞が関３－２－５ 霞が関ビル３Ｆ,03-3581-6031,http://www.kenkoigaku.or.jp,"有
婦人科",平日 9：00-12：00 14：00-16：30,有,東京都,千代田区,13101,35.671192,139.74791
"医療法人社団コンシューマメ
ディカル 四ッ谷レディスクリ
ニック",102-0083,東京都千代田区麹町６－４－１４ 堤ビル２Ｆ,03-3234-5343,http://:yotsuya-lc.com,有,平日・土 10：00-13：00 15：00-18：30,有,東京都,千代田区,13101,35.685764,139.733276
"医療法人社団ＩＬＣ会 一番町レ
ディースクリニック",102-0082,東京都千代田区一番町４－２６ 相模屋第５ビル２Ｆ,03-3261-2255,https://www.1-ilc.com/,有,"月 10：00-13：00 16：00-18：30
火・水・金 9：30-13：00 16：00-18：30
木 16：00-18：30 土 10：00-13：00",有,東京都,千代田区,13101,35.687584,139.742172
紀尾井町レディースクリニック,102-0094,"東京都千代田区紀尾井町３－２９ 紀尾井ロイヤルハイツ
２０４",03-6666-5505,http://www.kioicho-lc.jp/,有,"月・火・水・木 9：30-13：30 16：00-20：0
金 9：30-13：30 16：00-20：00（12月から)
土 10：30-13：30",有,東京都,千代田区,13101,35.681744,139.738205
"丸の内の森 レディースクリニッ
ク",100-6509,"東京都千代田区丸の内１－５－１ 新丸の内ビル
ディング９F",03-6206-3900,https://www.moricli.jp/,有,平日 9：00-15：30,有,東京都,千代田区,13101,35.682579,139.764313
Ｓ．Ｔ ｓｔｙｌｅ クリニック,102-0083,東京都千代田区麹町４－６－８ ダイニチ麹町ビル３Ｆ,03-6261-7405,https://ststyle-clinic.jp,無,月・火・水・金・土 10：00-19：00,有,東京都,千代田区,13101,35.684322,139.735535
有楽町ビル婦人科クリニック,100-0006,"東京都千代田区有楽町１－１０－１ 有楽町ビル４Ｆー４１
４区",03-3214-2568,,有,月・火・木・金 11：00-13：00 14：00-18：00,有,東京都,千代田区,13101,35.674938,139.761795
あゆみクリニック,101-0052,東京都千代田区神田小川町１－１０－３ 保坂ビル７Ｆ,03-5577-5253,https://www.ayumiclinic.com,有,"月・火・木 11：30-14：00 17：00-20：00
土 11：30-14：00",有,東京都,千代田区,13101,35.695347,139.76535
"医療法人社団授生会 杉村レ
ディースクリニック",102-0076,東京都千代田区五番町２ 横山ビルＢ１Ｆ,03-3264-8686,https://www.ivf-baby.org,有,"平日 8：30-19：00
土 8：30-13：00",有,東京都,千代田区,13101,35.689255,139.732758
"医療法人財団健貢会 東京クリ
ニック",100-0004,"東京都千代田区大手町２－２－１ 新大手町ビル１Ｆ・地下
１Ｆ・地下２Ｆ",03-3516-7151,http://www.tokyo-cl.com,"有
婦人科","月・木・金 11：00-12：00 15：00-16：30
火 11：00-12：0014：00-16：30
水 11：30-12：00 15：30-16：30
土 11：30-12：00",有,東京都,千代田区,13101,35.685474,139.767288
霞ヶ関土居美佐クリニック,100-0011,"東京都千代田区内幸町２－２－１ 日本プレスセンタービ
ルＢ１",03-3519-5079,http://doimisa-clinic.com/,有,"月・火・木・金・第4水 10：30-13：00 15：00-18：30
第1・2・3 15：00-18：30",有,東京都,千代田区,13101,35.670513,139.754822
前田医院,104-0045,東京都中央区築地１－３－６,03-3541-0396,,有,"月・火・水・金 9：30-13：00 15：00-18：00
土 9：30-13：00",有,東京都,中央区,13102,35.670139,139.772247
"医療法人社団進興会 東京ダイ
ヤビルクリニック",104-0033,"東京都中央区新川１－２８－２５ 東京ダイヤビルディング
３号館－１Ｆ",03-3551-7737,https://www.daiya-clinic.jp/,有,"月 14：00-17：00
木 9：00-12：30 初診の方12：30",有,東京都,中央区,13102,35.674652,139.784531
"医療法人社団春音会 はるねク
リニック銀座",104-0061,"東京都中央区銀座１－５－８ ギンザウィローアベニュービ
ルディング６Ｆ",03-5250-6850,http://www.haruneclinic.com/,"有
婦人科","月・火・水・金 9：30-17：00
土 9：30-14：00
木 12：00-19：00","無
院外処方",東京都,中央区,13102,35.674572,139.767181
"医療法人社団 銀座レディース
クリニック",104-0061,東京都中央区銀座４－６－１１ 銀座センタービル６Ｆ,03-3535-1117,http://www.ginzaladies.com,有,"月・火・水・金 9：00-18：00
木・土 9：00-12：30",有,東京都,中央区,13102,35.671097,139.765503
勝どきウィメンズクリニック,104-0054,東京都中央区勝どき２－１０－４宮野海運ビル４Ｆ,03-3536-7723,http://www.kachidoki-women.com/,有,"平日 8：45-12：30 14：45-17：30
土 8：45-12：30",有,東京都,中央区,13102,35.658783,139.777969
安江レディースクリニック,103-0024,東京都中央区日本橋小舟町１５－１５ ルネ小舟町ビル４Ｆ,03-3667-0085,http://www.yasuelc.com,有,"月・火・木・金 10：00-13：00 15：00-17：30
水 10：00-13：00",有,東京都,中央区,13102,35.685596,139.779739
"医療法人三秀会 八重洲中央
クリニック",103-0027,東京都中央区日本橋３－１－２ ＮＴＡ日本橋ビル９Ｆ,03-3270-1121,http://www.centralclinic.or.jp,有,"月・火・水 10：00-12：00 14：30-18：00
木・金・土 10：00-12：00 14：30-17：00",有,東京都,中央区,13102,35.681145,139.771561
"医療法人社団わかと会 リバー
シティクリニック東京",104-0051,東京都中央区佃１－１１－８ ピアウエストスクエア２Ｆ,03-6219-5100,https://rivercity-clinic.jp/,有,火・水・木 9：30-17：00,有,東京都,中央区,13102,35.669807,139.784775
"医療法人社団新宿レディースク
リニック会 東京レディースクリ
ニック",104-0031,東京都中央区京橋１－１－５ セントラルビル５Ｆ,03-3342-1971,https://www.tokyo-ladies.jp/,"有
産婦人科",平日・土・日・祝 9：30-19：00,有,東京都,中央区,13102,35.679356,139.771011
"医療法人鉄蕉会 亀田京橋クリ
ニック",104-0031,"東京都中央区京橋３－１－１ 東京スクエアガーデンビル４
階・６階",03-3527-9100,"http://www.kameda-
kyobashi.com/ja/index.html",有,"平日 9：00-13：30 14：00-18：30
土 10：30-13：30 15：00-17：00",無,東京都,中央区,13102,35.676559,139.768524
"医療法人社団菫青会 茅場町
いとう医院",103-0025,東京都中央区日本橋茅場町１－１３－１５ 新居ビル３階,03-6667-0198,www.kayabacho-itoiin.jp,有,"平日 10：00-13：30 15：30-18：00
ウェブサイトより予約可",有,東京都,中央区,13102,35.67979,139.780792
"医療法人社団 楠原ウィメンズ
クリニック",104-0061,東京都中央区銀座５－６－２ 銀座七宝ビル６Ｆ,03-6274-6433,https://www.kusuhara-womens.jp/,有,"月・火・水・金 9：00-13：00 15：00-18：30
木・土 9：00-13：00",有,東京都,中央区,13102,35.671497,139.764404
ＫＩＳＨＩ ＣＬＩＮＩＣＡ ＦＥＭＩＮＡ,104-0061,"東京都中央区銀座８－５－６ 並木通り 中島商事ビル５
階",03-5537-7171,www.kishiclinicafemina.jp,有,"月・火・木・金 18：30-22：00
水・土 14：00-17：30 18：30-22：00
日・祝 9：30-13：00 14：00-17：30 18：30-22：00",有,東京都,中央区,13102,35.668976,139.760559
銀座吉田医院,104-0061,"東京都中央区銀座２－４－８ ＧＩＮＺＡ ＹＵＫＩ ＢＬＤ．８Ｆ・
９Ｆ",03-3561-5537,http://www.yoshida-iin.com/,有,"月・火・木・金 10：00-13：00 15：00-18：00
第2・4 土 10：00-13：00 完全予約制",有,東京都,中央区,13102,35.673775,139.766342
こやまレディースクリニック,104-0054,東京都中央区勝どき３－３－６ 勝どき田窪ビル２Ｆ,03-5859-5975,http://koyama-lc.com/,有,"平日 9：30-12：30 14：30-18：30
土 9：00-13：30 14：30-17：00",有,東京都,中央区,13102,35.65929,139.775238
"銀座こうのとりレディースクリ
ニック",104-0061,東京都中央区銀座１－３－９ マルイト銀座ビル７Ｆ,03-5159-2077,https://ginzakounotori.com/,有,"月・火・木・金 10：00-12：00
土 11：00-13：00",有,東京都,中央区,13102,35.675018,139.766205
"医療法人舘出張 佐藤会
フィーカ レディースクリニック",103-0027,"東京都中央区日本橋２－５－１ 日本橋高島屋三井ビル
ディング１０Ｆ １００１号室",03-6910-3977,http://fika-lc.jp/,有,"月 8：30-19：00
水 8：30-17：00
火・木・金 9：30-19：00",有,東京都,中央区,13102,35.681751,139.773468
ＥＡＳＥ女性のクリニック,104-0042,"東京都中央区入船１－１－２４ ドルフィンＫＯＴＯ入船ビル
５Ｆ",03-3206-1112,https://ease-clinic.jp,有,"月・火・木・金 9：00-18：30
水 9：00-13：30
土 9：00-14：00",有,東京都,中央区,13102,35.673393,139.7771
"医療法人社団 銀座ウィメンズ
クリニック",104-0061,東京都中央区銀座６－１２－１３ 大東銀座ビル４Ｆ,03-5537-7600,http://www008.upp.so-net.ne.jp/ivfginza/,有,"月・火・水・金 9：00-13：30 15：00-18：30
土 9：00-13：30",有,東京都,中央区,13102,35.669079,139.764389
慈恵医大晴海トリトンクリニック,104-0053,"東京都中央区晴海１－８－８ 晴海アイランドトリトンスクエ
アオフィスタワーＷ３Ｆ",03-3531-3211,http://www.hosp.jikei.ac.jp/harumi,有,"火・金 9：00-11：30
水 9：00-11：30 14：00-17：30",無,東京都,中央区,13102,35.655556,139.78183
"医療法人社団央美会 銀座す
ずらん通りレディスクリニック",104-0061,東京都中央区銀座６－９－７ 近畿建物銀座ビル８Ｆ,03-3569-7711,http://huninsho.com/,有,月・火・木・金・土 10：00-18：00,有,東京都,中央区,13102,35.66988,139.763412
アイル女性クリニック,104-0052,東京都中央区月島１－８－１ アイマークタワー２０３,03-3534-0803,http://i-ll-clinic.com,"有
産科・婦人科","月・火・木・金 9：30-16：00
土 9：30-11：00",有,東京都,中央区,13102,35.664883,139.783493
"医療法人社団すずらん せいこ
レディースクリニック銀座",104-0061,東京都中央区銀座７－２－４ ムサシ７ビル４Ｆ,03-5568-3128,https://www.seikoginza.com/,有,"平日 9：30-20：00
土・日・祝 9：30-15：00",有,東京都,中央区,13102,35.671013,139.760742
"医療法人社団ウィミンズ・ウェル
ネス 対馬ルリ子女性ライフクリ
ニック銀座",104-0061,東京都中央区銀座２－６－５ 銀座トレシャス７Ｆ,03-3538-0270,http://w-wellness.com/,有,"月：10:00～18:00
火～土：10:00～17:30
日曜祝日は休診",有,東京都,中央区,13102,35.673607,139.767334
東日本橋レディースクリニック,103-0011,"東京都中央区日本橋大伝馬町13-8
メディカルプライム日本橋小伝馬町4階",03－6661－6658,https://higashinihonbashi-lc.com/,有,"月・水・金 10：00-20：00
火・木 10：00-17：00",有,東京都,中央区,13102,35.691093,139.781021
"医療法人社団康寿会 堀産婦
人科",108-0074,東京都港区高輪３－７－８,03-3449-3541,https://www.hori3541.or.jp,有,"平日 9：00-12：30 16：00-18：30
土 9：00-13：00",有,東京都,港区,13103,35.632874,139.732086
"医療法人社団健勝会 港三田
クリニック",108-0014,東京都港区芝５－１６－１ 千代ビル３階,03-3456-3391,https://www.minatomitaclinic.net,有,"月・火・水・金 10：00-12：30 14：00-17：30
土 10：00-12：30",有,東京都,港区,13103,35.648643,139.746155
"医療法人社団 神田第二クリ
ニック",106-0031,東京都港区西麻布３－２０－１４ 梅田ビル２Ｆ,03-3402-0654,http://kanda2nd.com,"有
産婦人科・内科","平日 9：00-12：30 14：00-16：30
土・日・祝 休診",有,東京都,港区,13103,35.660187,139.725876
中井診療所,107-0061,東京都港区北青山３－３－７－１０２,03-3401-2055,,"有
婦人科",平日 8：00-12：00,有,東京都,港区,13103,35.668293,139.714828
広尾かなもりクリニック,106-0047,東京都港区南麻布５－１０－２４ 第２佐野ビル４Ｆ,03-6408-0652,http://kanamori-clinic.com/,有,"月 14：00-19：30
火・水 9：00-17：00",有,東京都,港区,13103,35.653286,139.722626
泉ウィメンズクリニック,107-0062,東京都港区南青山５－４－３ 南青山泉ビル３Ｆ,03-3400-1213,http://izumi-womenns.jp/,"有
婦人科","平日 9：00-17：40
土 9：00-12：40",有,東京都,港区,13103,35.662231,139.714432
"ピンクリボン ブレストケアクリ
ニック 表参道",107-0061,東京都港区北青山３－６－１９ バイナリー北青山２Ｆ,03-3407-7373,http://pinkribbon-brestcure.com/,有,"月・火・水・金 10：00-19：00
木・土 9：30-17：30",有,東京都,港区,13103,35.665234,139.711334
"白金高輪海老根ウィメンズクリ
ニック",108-0074,東京都港区高輪１－２－１７ 高輪梶ビル５Ｆ,03-5789-2590,http://ebine-womena-clinic.com,有,"平日 8：30-19：00
土・日・祝 8：30-17：00",有,東京都,港区,13103,35.644142,139.735092
"医療法人社団清陵会 丸茂レ
ディースクリニック",106-6004,東京都港区六本木１－６－１ 泉ガーデンタワー４Ｆ,03-5575-5778,http://www.marumo-ladies.jp,有,"月・火・水・金 10：00-13：00 15：00-18：00
土 10：00-13：00 15：00-17：00",有,東京都,港区,13103,35.664543,139.739487
美馬レディースクリニック,107-0052,東京都港区赤坂３－１３－１３ 中村ビル４Ｆ,03-6277-7397,http://www.mima-ladies.com/,有,"月・火・水・金 10：00-19：00
土 10：00-14：00",有,東京都,港区,13103,35.673473,139.73735
"お台場海浜公園 虹橋クリニッ
ク",135-0091,東京都港区台場２－２－４ 台場クリニックモール２Ｆ,03-3529-2284,,"有
婦人科","平日 10：00-13：30 15：00-17：00
土 10：00-13：00",有,東京都,港区,13103,35.630127,139.780258
"医療法人社団オリーブ会オリー
ブレディースクリニック麻布十番",106-0045,"東京都港区麻布十番１－５－１８ カートブラン麻布十番３
Ｆ",03-6804-3208,http://oliveladies.com/azabu/,有,"平日 9：00-18：00
土・日 9：00-16：00",有,東京都,港区,13103,35.65749,139.732513
"社会福祉法人恩賜財団母子愛
育会総合母子保健センター 愛
育クリニック",106-8580,東京都港区南麻布５－６－８,03-3473-8310,http://www.aiiku.net/clinic/,有,平日 9：00-12：00,有,東京都,港区,13103,35.652748,139.727524
浜松町大門レディースクリニック,105-0013,東京都港区浜松町２－２－１５ 浜松町ゼネラルビル８Ｆ,03-6403-4105,http://www.hamadai-ladies.com,"有
産科・婦人科","平日 11：00-20：00
土 11：00-16：00",有,東京都,港区,13103,35.655102,139.754761
高輪台レディースクリニック,108-0074,東京都港区高輪３－８－１７ ＴＫ高輪ビル３Ｆ,03-3441-1377,http://takanawadai-lc.com/,有,"平日 10：00-13：00 15：00-18：00
土 10：00-15：00",有,東京都,港区,13103,35.632393,139.73111
ジェネラルクリニック,106-0032,東京都港区六本木６－１－８ 六本木グリーンビル８Ｆ,03-3401-0333,http://general-clinic.tokyo,"有
婦人科","平日 10：30-18：30
土 11：00-19：00（不定休）
日 11：00-19：00",有,東京都,港区,13103,35.662449,139.731354
赤坂虎の門クリニック,107-0052,"東京都港区赤坂１－８－１ 赤坂インターシティＡＩＲ地下１
Ｆ",03-3583-8080,https://akatora-clinic.com,有,月・火・木・金 8：30-13：00 14：00-16：30,有,東京都,港区,13103,35.669594,139.742661
東京ＡＭＨクリニック銀座,105-0004,"東京都港区新橋１－９－５ 新橋Ｍ－ＳＱＵＡＲＥ Ｂｒｉｇｈｔ
２Ｆ",03-3573-4124,www.amh.clinic,有,"月・火・水・木 9：00-12：00 15：00-19：00
水・土・祝 9：00-12：00",有,東京都,港区,13103,35.667171,139.760086
"医療法人社団セイント会 セイ
ントメディカルクリニック",107-0062,東京都港区南青山２－４－１２ 南青山アサヒビル３Ｆ,03-5772-6881,http://www.saint.or.jp,"有
婦人科","月・火・木・金 10：30-14：00 16：00-20：00
水 16：20：00
土 10：30-14：00 完全予約制",有,東京都,港区,13103,35.671204,139.723312
"医療法人社団宗友会 パーク
サイド広尾レディスクリニック",106-0047,東京都港区南麻布５－１－１１ Ｑｉｚ広尾３Ｆ,03-5798-3470,http://www.ladies-clinic.or.jp/,有,"月・火・水・金 9：30-18：00
土 10：00-17：00",有,東京都,港区,13103,35.654465,139.722473
"医療法人社団ケアリージェン
シー 六本木ヒルズクリニック",106-6106,東京都港区六本木６－１０－１ 六本木ヒルズ森タワー６階,03-3796-0066,http://www.66clinic.com/,有,"月・火・水・木 10：00-12：30 14：30-17：30
金 10：00-12：30",有,東京都,港区,13103,35.660206,139.729202
"医療法人社団神徳会 芝公園
かみやまクリニック",105-0014,東京都港区芝２－９－１０ ダイユウビル１Ｆ,03-6414-5641,s-kamiyamaclinic@jcom.home.ne.jp,有,"月・火・金 10：00-13：00 16：00-18：30
水 10：00-13：00 16：00-17：00
木 16：00-18：00
土 10：00-13：00",有,東京都,港区,13103,35.651993,139.751419
"麻布十番つのだレディースクリ
ニック",106-0045,東京都港区麻布十番２－２０－７ 稲川ビル４Ｆ,03-5730-1115,kanja.jp/020914.html,有,"火・水・木・金 11：00-17：00
土 11：00-15：00",有,東京都,港区,13103,35.654938,139.736694
"医療法人社団 いわきたえこレ
ディースクリニック",105-0004,東京都港区新橋１－１８－１９ キムラヤオオツカビル３Ｆ,03-3593-6321,http://iwaki-lc.jp,有,"月・水・木 11：00-13：30 16：00-19：30
火・金・土 11：00-13：30",有,東京都,港区,13103,35.668629,139.755844
"アヴェニューウィメンズクリニッ
ク",106-0032,東京都港区六本木７－１４－７ トリニティビル４Ｆ,0120-766-649,https://www.aw-clinic.com,有,"平日 11：00-20：00
日 11：00-20：00",有,東京都,港区,13103,35.663563,139.731369
"医療法人社団まなみウィメンズ
麻布十番まなみウィメンズクリ
ニック",106-0045,"東京都港区麻布十番１－５－１９ ラトリエ・メモワールビル
２Ｆ",03-3405-0928,http://www.azabuwomens-cl.com/,有,"月・火・木 11：00-14：00 15：00-19：00
金 11：00-14：00 15：00-20：00
土 10：30-15：30",有,東京都,港区,13103,35.65749,139.732513
"一般社団法人日本家族計画協
会市谷クリニック",162-0843,東京都新宿区市谷田町１－１０ 保健会舘新館,03-3235-2694,,有,"火 13：30-18：30
第2土 10：00-15：30
（平日 9：00-17：00 応相談）",有,東京都,新宿区,13104,35.692955,139.73587
"医療法人社団柏葉会 高村医
院",160-0004,東京都新宿区四谷３－１０,03-3351-3610,https://www.takamura-iin.com/,有,月・火・水・木・金 9：00-12：00 14：00-18：00,有,東京都,新宿区,13104,35.688141,139.719894
竹下医院,169-0075,東京都新宿区高田馬場２－１４－２２,03-3200-1281,無,有,"月・木・金 9：00-12：00 16：00-18：00
火・土 9：00-12：00",有,東京都,新宿区,13104,35.713539,139.707245
かわかた医院,169-0072,東京都新宿区大久保２－１８－１６,03-3200-0028,,"有
産婦人科","平日 10：00-12：30 14：00-18：00
土 10：00-12：30",有,東京都,新宿区,13104,35.701694,139.704987
福島医院,169-0075,東京都新宿区高田馬場２－１３－１５,03-3209-1301,,有,月・火・水・木・金 9：30-12：00,有,東京都,新宿区,13104,35.712631,139.70784
林医院,169-0072,東京都新宿区大久保１－１６－１３ 三和ビル３Ｆ,03-3204-1203,,有,月・火・木・金 9：30-13：00 14：30-17：30,有,東京都,新宿区,13104,35.701244,139.702499
