施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
七里産婦人科医院,337-0017,埼玉県さいたま市見沼区風渡野２７１,048-685-5566,,有,"平日9:00～12:00 16:00～18:30
土9:00～12:00 日木、土午後休診",有,埼玉県,さいたま市見沼区,35.934673,139.668732
飯島医院,330-0051,埼玉県さいたま市浦和区駒場１－１２－１,048-882-0333,,有,"平日9:00～12:00 14:30～17:00（木休診）
土9:00～12:00",有,埼玉県,さいたま市浦和区,35.869408,139.662521
医療法人石川病院,330-0063,埼玉県さいたま市浦和区高砂３－１７－１７,048-861-2161,http://www.ishikawa-hp.jp,有,"平日9:00～11:30 14:45～16:30
土9:00～11:30",有,埼玉県,さいたま市浦和区,35.856052,139.647476
高田クリニック,330-0061,埼玉県さいたま市浦和区常盤１－３－１７,048-831-2023,http://www006.upp.so-net.ne.jp/takada/,有,"月水金9:00～11:30 15:00～16:30
火土9:00～11:30",有,埼玉県,さいたま市浦和区,35.8629,139.652481
加藤クリニック,330-0053,埼玉県さいたま市浦和区前地２－３－１１,048-882-0034,http://www.katocl.jp,有,"平日9:00～12:00 15:00～18:00
土9:00～12:00 15:00～17:00",有,埼玉県,さいたま市浦和区,35.857395,139.662247
キリサワ産婦人科クリニック,330-0055,埼玉県さいたま市浦和区東高砂町２２－６,048-887-7200,http://kirisawa32jinka.com/,有,"月水金9:30～19:00
火木土9:30～13:00",有,埼玉県,さいたま市浦和区,35.859455,139.660461
"独立行政法人地域医療機能推進機構埼玉メディカ
ルセンター",330-0074,埼玉県さいたま市浦和区北浦和４－９－３,048-832-4951,https://saitama.jcho.go.jp/,有,平日 8：30～ 17：15,有,埼玉県,さいたま市浦和区,35.872059,139.643555
宮坂産婦人科クリニック,336-0926,埼玉県さいたま市緑区東浦和２－７１－２,048-873-0220,,有,"平日9:00～17:30 土9:00～12:00
水日、土午後休診",有,埼玉県,さいたま市緑区,35.861668,139.69516
"かねこウィメンズ
クリニック",336-0926,埼玉県さいたま市緑区東浦和３－１－１９,048-874-1311,http://www.urawa-med.or.jp/urawa/app/htd,ocs/index.php?ac有tion=dtl:index&medi,"月火水金9:30～12:30 15:30～18:30
cal_id=254
木土9:30～12:30",有,埼玉県,さいたま市緑区,35.865017,139.700317
丸山記念総合病院,339-8521,埼玉県さいたま市岩槻区本町２－１０－５,048-757-3511,http://www.maruyama-hp.or.jp/,有,24時間365日対応可能,有,埼玉県,さいたま市,35.945641,139.695908
木野産婦人科,331-0812,埼玉県さいたま市北区宮原町１－３３１－１,048-651-2916,http://www.kinomaternityclinic.jp/index.htm,l 有,"月火水金9:00～17:00 土9:00～11:30
木祝休診",有,埼玉県,さいたま市北区,35.936333,139.620163
大宮レディスクリニック,330-8669,"埼玉県さいたま市大宮区桜木町１－７－５
ソニックシティビル１４階",048-648-1657,www.omiya-lc.com,有,"火水金9:00～18:30 木9:00～12:00
土日9:00～15:00",有,埼玉県,さいたま市,35.905506,139.619995
"医療法人かしわ会
かしわざき産婦人科",330-0855,埼玉県さいたま市大宮区上小町６０４－４,048-641-8077,http://www.kashiwazaki.ne.jp,有,月～金9:00～18:30 土9:00～12:00,有,埼玉県,さいたま市大宮区,35.901371,139.610611
マキウイメンズクリニック,338-0001,"埼玉県さいたま市中央区上落合９－９－８
サンフロントビル２階",048-749-1281,http://www.maki-w-clinic.jp,有,"平日9:00～12:00 14:00～17:00
土9:00～13:00 金日祝日は休み",有,埼玉県,さいたま市中央区,35.900101,139.623489
医療法人島田医院,338-0003,埼玉県さいたま市中央区本町東１－１３－２３,048-852-4452,,有,月～土8:30～11:00 月水金14:00～18:00,有,埼玉県,さいたま市中央区,35.879929,139.625854
医療法人社団慶育会セントウィメンズクリニック,330-0055,"埼玉県さいたま市浦和区東高砂町９－１
SUMIDAONEビル４階",048-871-1771,http://www.saintwomen.com,有,"平日9:30～13:30 15:00～19:00
木土9:30～13:30",有,埼玉県,さいたま市浦和区,35.857727,139.658783
医療法人博仁会共済病院,336-0931,埼玉県さいたま市緑区原山３－１５－３１,048-882-2867,http://www.kyosai-hosp.or.jp/,有,平日９：００－１７：００のみ,有,埼玉県,さいたま市緑区,35.871761,139.675949
埼玉協同病院,333-0831,埼玉県川口市木曽呂1317,048-296-4771,http://kyoudou-hp.com/,有,"月～金 8:30-17:00
土 8:30-13:00（第２土曜休診）",有,埼玉県,川口市,35.859715,139.71637
川口誠和病院,334-0074,埼玉県川口市江戸3-35-46,048-285-0661,,有,"月～金 9:00-17:00
土 9:00-15:00",有,埼玉県,川口市,35.819508,139.755096
武南病院附属クリニック,334-0063,埼玉県川口市東本郷1432,048-282-8222,http://www.bunan.jp,有,"月火木金 9：00-17:00
水土 9:00-13:00",有,埼玉県,川口市,35.826672,139.760529
厚川医院,333-0811,埼玉県川口市戸塚2-4-10,048-295-2800,https://asukawa-clinic.wixsite.com/atsukaw,a-clinic-neo 有,"月火水金 9:00-16:30
木土 9:00-11:30",有,埼玉県,川口市,35.871155,139.745377
ソフィア祐子レディースクリニック,332-0021,埼玉県川口市西川口1-26-4上新建業ﾋﾞﾙ3階,048-253-7877,https://www.ivfysatole.jp/,有,"火水木 9:00-12:00、16:00-18:30
土日 9:00-13:00",有,埼玉県,川口市,35.814137,139.703644
伊神産婦人科クリニック,332-0017,埼玉県川口市栄町1-12-21-201,048-258-0201,,有,"月～金 9:00-12:00、15:00-18:00
土 9:00-12:00",有,埼玉県,川口市,35.801826,139.728058
高橋レディースクリニック,332-0001,埼玉県川口市朝日3-6-22,048-226-2871,http://www.takahashi-lc.jp/,有,"火水金 9:00-18:00
土日 9:00-17:00",有,埼玉県,川口市,35.812328,139.736084
さとうレディースクリニック,332-0031,埼玉県川口市青木1-5-25,048-252-1103,https://www.satoclinic.jp/,有,"月火水金 8:45-11:00、14:45-17:00
木土 8:45-11:00",有,埼玉県,川口市,35.805534,139.725876
さいぐさクリニック,334-0055,埼玉県川口市安行小山487-5,048-290-7171,http://saigusa-smg.jp,有,"月木金 9:00-17:30
火 9:00-11:00",無,埼玉県,川口市,35.834557,139.776779
前川レディースクリニック,333-0846,埼玉県川口市南前川2-4-1,048-265-5290,http://www.shibukawa.org,有,"月火木金土 9:00-12:00、14:00-18:00
水日 9:00-13:00",有,埼玉県,川口市,35.831306,139.706207
医療法人愛和会 愛和病院,350-0001,埼玉県川越市古谷上983-1,049-235-8811,http//www.aiwahospital.or.jp,有,24時間 365日,有,埼玉県,川越市,35.916847,139.517883
愛和レディスクリニック,350-0043,埼玉県川越市新富町2-22,049-222-8801,,有,"平日10:00-13:00、15:00-18:30 土曜10:00-
13:00",有,埼玉県,川越市,35.913689,139.482147
石井クリニック,350-1151,埼玉県川越市今福467-3,049-244-6205,,有,"月曜、木曜9:00-12:00、14：30-17：00
火曜、金曜9:00-12:00、14：30-17：00、
17:30-19:00
土曜9:00-12:00",有,埼玉県,川越市,35.878563,139.470444
レディースクリニック小川医院,350-0816,埼玉県川越市上戸296-2,049-233-0310,,有,"月曜～水曜9:00-12:00、15:00-18:00 土曜
9:00-12:00",有,埼玉県,川越市,35.929321,139.442856
"医療法人和心会ハッピーバース・ライフクリニッ
ク",350-1101,埼玉県川越市的場2-7-7,049-233-8821,www.sms.or.jp/happy/,有,"月曜、水曜、土曜8:30-11:30、14：00-16：00
（土曜は15時まで）
火曜、金曜8:30-11：00
木曜、日曜、祭日休診",有,埼玉県,川越市,35.915909,139.429245
越谷市立病院,343-8577,埼玉県越谷市東越谷10-32,048-965-2221,http://www.mhp.koshigaya.saitama.jp/,有,24時間,有,埼玉県,越谷市,35.899837,139.803177
産婦人科菅原病院,343-0813,埼玉県越谷市越ヶ谷1-15-2,048-964-3321,https://www.sugawara-hp.jp/,有,"平日：9:00-12:00/14:00-17:30
土曜日：9:00-12:00/14:00-15:00",有,埼玉県,越谷市,35.886887,139.787338
佐藤産婦人科,343-0857,埼玉県越谷市新越谷1-34-4,048-985-0310,https://www.sato-maternity.jp/,有,"診療時間内
平日8：45-15：30受付
土曜9：00-11：30受付",有,埼玉県,越谷市,35.873043,139.784943
高見沢産婦人科医院,343-0806,埼玉県越谷市宮本町3-4,048-966-8088,－,有,月曜－土曜 9：00－17：00,有,埼玉県,越谷市,35.89048,139.779892
堀中医院,343-0813,埼玉県越谷市越ヶ谷3-1-26,048-962-5331,http://horinaka-iin.jp/,有,"月～水・金・土：9:00-11:00/13:30-16:30
※木・日・祝日：休診",有,埼玉県,越谷市,35.891205,139.787766
南越谷健身会クリニック,343-0851,埼玉県越谷市七左町1-304-1,048-990-0777,http://www.medical-kenshinkai.com,有,平日水曜日・木曜日・金曜日 9:00-17:00,有,埼玉県,越谷市,35.869385,139.782135
蕨市立病院,335-0001,埼玉県蕨市北町2-12-18,048-432-2277,http://www.city.warabi.saitama.jp/menu0000,01700/hpg000009有649.htm,24時間対応,有,埼玉県,蕨市,35.828495,139.67955
戸田中央産院,335-0022,埼玉県戸田市上戸田2-26-3,048-444-1181,http://www.todasanin.jp,有,24時間対応,有,埼玉県,戸田市,35.813793,139.680359
岩沢ﾚﾃﾞｨｰｽｸﾘﾆｯｸ,335-0023,埼玉県戸田市本町4-17-28ＷＩＮビル301,048-445-4103,http://www.iwasawa-ladies-cl.com,有,"平日9:30-12:30,15:00-18:00
火曜、金曜日9:30-12:30、15:00-19:00
土曜9:30-12:30",有,埼玉県,戸田市,35.807713,139.677628
白石はなももレディースクリニック,335-0021,埼玉県戸田市新曽2200-2ロイヤルメドゥ北戸田2F,048-434-4809,http://www.s-hanamomolc.jp,有,"月曜、水曜～金曜日8:50-12:00、14:50-18:00
土曜8:50-12:00",有,埼玉県,戸田市,35.825962,139.659531
"医療法人財団明理会
イムス富士見総合病院",354-0021,埼玉県富士見市大字鶴馬1967-1,049-251-3060,https://www.ims.gr.jp/fujimisougou/,有,"平日9：00-12：00
土曜9：00-12：00（1・3週のみ）
診療時間内であれば対応可能",有,埼玉県,富士見市,35.85548,139.553406
医療法人恵愛会 恵愛病院,354-0017,埼玉県富士見市針ヶ谷526-1,049-252-2121,https://www.keiaihospital.or.jp/,有,24時間,有,埼玉県,富士見市,35.83091,139.557022
にしじまクリニック,354-0031,埼玉県富士見市勝瀬1034-1,049-262-0600,https://www.nishijima-clinic.or.jp/,有,"月・水・土9:00～15:00
火・金9:00～18:00",有,埼玉県,富士見市,35.86446,139.531036
"医療法人誠壽会
上福岡総合病院",356-0011,埼玉県ふじみ野市福岡931,049-266-0111,http://www.kamifukuoka.or.jp/,有,"平日 午前9：00～12：00
午後3：30～5：00
土曜 午前9：00～12：00",有,埼玉県,ふじみ野市,35.876835,139.539459
医療法人寛和会 萩原医院,351-0114,埼玉県和光市本町12-34,048-461-2046,無,有,"平日 9:00-12:00 15:00-18:30
土日 9:00-12:00 15:00-17:00
日曜、祝日、木曜日、休診",有,埼玉県,和光市,35.786388,139.610474
牧田産婦人科医院,352-0021,埼玉県新座市あたご3丁目3-17,048-478-1151,https://www.makita-sanfujinka.com,有,"平日：9:00ｰ11：45、14:00ｰ16：45
水曜と土曜は9:00ｰ11:45
日曜・祝日・月曜休診",有,埼玉県,新座市,35.793789,139.543625
医療法人浩心会 くろだ女性クリニック,354-0036,"埼玉県富士見市ふじみ野東1-12-14プランタン21
2F",049-256-1500,kurodajc.com,有,"月火木金土9:30-12:30 14:30-17:30
※火の午前は受付12:00まで、
木の午前は受付11:30まで
休診日：水、第2、4木の午後、日、祝日",有,埼玉県,富士見市,35.862278,139.526245
医療法人夢樹会 ウィメンズクリニックふじみ野,354-0035,埼玉県富士見市ふじみ野西1-17-3 2F､3F,049-293-8210,http://www.wcf-reproduction.com/,有,"月火水金 9:00-12:30 15:00-18:30
木9:00-11:00 午後休診、土9:00-12:30",有,埼玉県,富士見市,35.859352,139.520065
細川レディスクリニック,356-0050,埼玉県ふじみ野ふじみ野1-4-16,049-265-1580,0,有,月火水金土 9:00-12:00 15:00-18:00,有,埼玉県,ふじみ野市,35.879395,139.519821
よつはレディスク リニック志木,353-0004,"埼玉県志木市本町５－２５－８
ドゥーセットビル3階",048-423-6428,yotsuha-clinic.com,有,"平日 9:00-12:30 15:00-18:30
土曜日 9:00-13:00",有,埼玉県,志木市,35.823631,139.57547
ねもとレディースクリニック,343-0106,埼玉県松伏町大川戸２４１番地５,048-991-5216,,有,"月曜、火曜、水曜、金曜日7:30-11:30 15:00-18:30
土曜7:30-11:30",有,埼玉県,北葛飾郡松伏町,35.94146,139.814056
八潮中央総合病院,340-0814,埼玉県八潮市南川崎845,048-996-1131,http://www.yashio-cgh.jp,有,"火～金：10:00-12:00、15:00～16:30
土曜10:00-11:30",有,埼玉県,八潮市,35.813404,139.851273
永井マザーズホスピタル,341-0004,埼玉県三郷市上彦名607-1,048-959-1311,http://www.nagai-cl.com,有,"外来：平日 9:30-12:30、15:00～17:30、土
曜：9:30～12:30
緊急時：夜間・日曜・祝日 対応可",有,埼玉県,三郷市,35.851929,139.862274
医療法人久信会瀧澤医院,340-0046,埼玉県草加市北谷2-28-35,048-942-3310,,有,"平日：9:00～17:30
水・土：9:00～12:30 日休診",有,埼玉県,草加市,35.843281,139.781769
松原レディースクリニック,340-0011,埼玉県草加市栄町2-12-5,048-936-3251,,有,"月・火・木・金：9:00～13:00、15:00～18:00
水・土：9:00～12:00",有,埼玉県,草加市,35.843086,139.801422
さくら乳腺外科婦人科,340-0011,埼玉県草加市栄町3-9-19,048-931-7690,http://sakura-bc.com,有,"月・火・木・金・土：9:00～12:00、14:00～
17:00",有,埼玉県,草加市,35.847069,139.801498
水上レディースクリニック,340-0056,埼玉県草加市新栄2-27-8,048-934-0303,,有,"月・水・金・土：9:00～17:00
日・火：9:00～12:00",有,埼玉県,草加市,35.859093,139.768845
かがわ医院,340-0043,埼玉県草加市草加3-8-21,048-942-6062,http://www.kagawa-clinic.net,有,"月・火・水・木・金・土：8:45～12:00、13:45
～17:00",有,埼玉県,草加市,35.838581,139.799072
医療法人賢仁会草加菅原レディースクリニック,340-0034,埼玉県草加市氷川町2118-35,048-923-1131,http:///www.sugawara-hp.jp,有,"平日：9:00～17:30
土：9:00～15:30 日・祝・木曜日：休診",有,埼玉県,草加市,35.827621,139.800552
児玉医院,340-0034,埼玉県草加市氷川町2144-25,048-925-1819,,有,"平日：9:00～12:00、15:00～18:00
土：9:00～12:00",有,埼玉県,草加市,35.829559,139.800537
木島医院,340-0023,埼玉県草加市谷塚町648-1,048-925-1919,http://www.kiijima-clinic.jp,有,"平日：9:00～12:30、14:00～19:00
土：9:00～14:00",有,埼玉県,草加市,35.814796,139.80101
医療法人社団稔誠会高橋レディースクリニック,341-0011,埼玉県三郷市采女1-232,048-950-1200,,有,"平日：9:00～17:00
土：9:00～13:30",有,埼玉県,三郷市,35.857189,139.864639
永井ウィメンズクリニック,341-0018,埼玉県三郷市早稲田2-2-10,048-950-2221,,有,"平日：10:00～17:30（水・金のみ10:30～）
土：10:00～11:30",有,埼玉県,三郷市,35.84642,139.884476
医療法人至誠会大久保クリニック,342-0056,埼玉県吉川市平沼1649,048-982-7360,http://www.ohkubo-clinic.com,有,"平日：9:00～16:30
土：9:00～11:30",有,埼玉県,吉川市,35.884289,139.844406
医療法人社団桜和会さくら医院,342-0056,埼玉県吉川市平沼1692-1,048-982-5511,http://www.sakuraiin.jp,有,"月・火・木・金：9:00～12:30、15:00～18:00
土・日：9:00～12:30",有,埼玉県,吉川市,35.884289,139.844406
"医療法人社団愛友会
上尾中央総合病院",362-8588,埼玉県上尾市柏座1-10-10,048-773-1111,https://www.ach.or.jp/,有,"平日：8：30～12：00/12：05～16：00
土曜日：8：30～12：00",無,埼玉県,上尾市,35.974049,139.585846
ナラヤマレディースクリニック,362-0014,埼玉県上尾市本町1-1-7,048-771-0002,https://www.narayamaclinic.com/,有,"月曜、水曜日：9:00-17:30
火曜、金曜日：18:30-19:30
土曜9:00-11：30",有,埼玉県,上尾市,35.977573,139.594177
"医療法人社団昇龍会
Women's Clinic
ひらしま産婦人科",362-0021,埼玉県上尾市原市1464,048-722-1103,https://www.hirashima-women-clinic.com,有,２４時間対応可,有,埼玉県,上尾市,35.975849,139.61824
木下産婦人科クリニック,362-0071,埼玉県上尾市井戸木,048-787-5533,https://www.kinoshita-cl.com,有,"平日・土曜日：9:00～18：00
金曜日：9：00～12：00",有,埼玉県,上尾市,35.989689,139.563034
医療法人社団はやしだ産婦人科医院,365-0028,埼玉県鴻巣市鴻巣1005-2,048-541-8000,https://www.hayashida-lc.com/,有,２４時間対応可,有,埼玉県,鴻巣市,36.069942,139.515961
吉田医院,364-0031,埼玉県北本市中央1-70,048-591-2200,https://www.yoshda-iin.info,有,"月火木 9:00～12:00/14：30～17：00
金土9:00～12:00",有,埼玉県,北本市,36.028839,139.534271
霞澤産婦人科医院,355-0017,埼玉県東松山市松葉町1-9-8,0493-22-0210,www.kasumizawa-sanfujinka.com,有,"平日・土曜9:00-17:00
水曜9：00-12：00",有,埼玉県,東松山市,36.039097,139.399979
エンゼルクリニック,355-0815,埼玉県比企郡滑川町月の輪1-7,0493-61-0123,"https://www.nakamurasanfujinka.jp/an
nex.html",有,"平日（月）：9：30-12：00、14：00-16：00
平日（火）：9：00-12：00
土曜：9：00-12：00、14：00-16：00",有,埼玉県,比企郡滑川町,36.042831,139.344269
市川クリニック,355-0813,埼玉県滑川町月の輪5-4-6,0493－61－0880,,有,"平日9:00-13:00、15:00‐18:00
土曜9:00-13:00",有,埼玉県,比企郡滑川町,36.043015,139.338028
渡辺産婦人科,355-0221,埼玉県嵐山町菅谷249-98,0493-62-5885,,有,"月曜・水曜・金曜9:00-12:00 15:00-18:00
火曜9:00-12:00 16:00-18:00
土曜9:00-12:00 15:00-17:00",有,埼玉県,比企郡嵐山町,36.03891,139.328461
中村産婦人科,355-0328,埼玉県比企郡小川町大字大塚1176-1,0493-72-0373,https://www.nakamurasanfujinka.jp/,有,"平日（月、火、木、金）：8：30-12：00、14：
30-18：00
平日（水）：8：30-12：00、16：00-18：00
土曜：8：30-12：00、14：00-17：00",有,埼玉県,比企郡小川町,36.058643,139.260406
みやざきクリニック,355-0328,埼玉県小川町大塚285,0493-72-2233,http://www.mhp.or.jp,有,"月曜、火曜、水曜、金曜9:00-12:00 16:00-
18:00
土曜9:00-12:00 16:00-18:00",有,埼玉県,比企郡小川町,36.057598,139.257004
医療法人社団マウナケア会清水病院,350-0225,埼玉県坂戸市日の出町1-8,049-281-0158,http://www.shimizu-hospital.com,有,"月・木・金曜9:00～11:30、14:00～16:30、
火曜9:00～11:00、15:00～17:30、
土曜9:00～11:00 （日曜・祝日：休診）",有,埼玉県,坂戸市,35.957863,139.393204
埼玉医科大学病院,350-0495,埼玉県入間郡毛呂山町大字毛呂本郷38番地,"049-276-1297
（産科・婦人科外来）",http://www.saitama-med.ac.jp/hospital/,有,"平日・土曜8:30～11:00
（日曜・祝日を除く）",有,埼玉県,入間郡毛呂山町,35.936001,139.304062
Ａｉ ｃｌｉｎｉｃ,350-0234,埼玉県坂戸市緑町4-1,049-277-5225,https://www.aiclinic2017.com/,有,"火・木・土曜9:00～12:00、15:00～18:00
水・金曜9:00～12:00",有,埼玉県,坂戸市,35.955448,139.393265
小川産婦人科小児科,350-0233,埼玉県坂戸市南町24-15,049-281-2637,http://www.ogawa-sanfujinka.or.jp/,有,"平日9:00～17:30
土曜9:00～16:00",有,埼玉県,坂戸市,35.953747,139.397141
東郷医院,350-0214,埼玉県坂戸市千代田2-8-5,049-281-0211,無,有,"平日9:00～18:00
土曜9:00～17:00",有,埼玉県,坂戸市,35.959396,139.405792
医療法人産春会 吉松医院,350-0225,埼玉県坂戸市日の出町1-16,049-281-0532,無,有,"平日9:00～12:00、15:00～18:00、
土曜9:00～12:00",有,埼玉県,坂戸市,35.958927,139.393356
ヒロレディースクリニック,350-2206,埼玉県鶴ヶ島市藤金845-4 3階,049-272-0164,http://hiro-lc.com,有,"月・火・水・金・土
9:30～12:30、15:30～18:30",有,埼玉県,鶴ヶ島市,35.948833,139.407745
"独立行政法人国立病院機構
西埼玉中央病院",359－1151,埼玉県所沢市若狭2-1671,04-2948-1111,https://nishisaitamachuo.hosp.go.jp/byouin_,shoukai.html 有,終日対応可能,有,埼玉県,所沢市,35.804634,139.425156
"医療法人慈桜会
瀬戸病院",359－1128,埼玉県所沢市金山町8-6,04-2922-0221,https://www.seto-hospital.or.jp/,有,"月曜～土曜9：00-12：00、14：00-17：00
※水曜午後は休診 ※完全予約制",有,埼玉県,所沢市,35.789352,139.46051
豊岡第一病院,358-0007,埼玉県入間市黒須1369-3,04-2964-6311,http://toyooka1.co.jp/,有,対応不可,無,埼玉県,入間市,35.833309,139.410889
"埼玉医科大学
国際医療センター",350-1298,埼玉県日高市大字山根1397-1,042-984-4111,http://www.international.saitama-med.ac.jp/,有,対応不可,無,埼玉県,日高市,35.921574,139.322723
"医療法人光和会
荻野医院",359-1161,埼玉県所沢市狭山ヶ丘1-2993-5,04-2948-1181,http://www.ogino-hp.or.jp,有,"平日9：00-11：30、14：00-16：30
土曜9：00-11：00",有,埼玉県,所沢市,35.81041,139.416443
前田クリニック,359-1111,埼玉県所沢市緑町3-14-5,04-2920-4920,http://www.maedaobgy.com/,有,"月・水・木・金9：00-12：00、14：00-17：00
火14：00-17：00
土9：00-12：00",有,埼玉県,所沢市,35.803383,139.451813
松田母子クリニック,359-0022,埼玉県所沢市本郷西上1080-5,04-2968-6800,https://www.matsuda-pc.jp/,有,平日及び土曜日9：00～17：00,有,埼玉県,所沢市,35.794636,139.523773
セントラルクリニック,357-0035,埼玉県飯能市柳町23-19,042-974-3251,,有,月・火・木・金・土8：30-12：00,有,埼玉県,飯能市,35.851395,139.321106
飯能産婦人科医院,357-0021,埼玉県飯能市双柳1322-1,042-974-9200,https://hannou-sanfujinka.com/,有,"月・火・木・金8：30-16：30
火・土8：30-11：30",有,埼玉県,飯能市,35.859192,139.335815
"医療法人恵秀会
奥平産婦人科",350-1332,埼玉県狭山市下奥富490-3,04-2954-1135,https://okudaira-clinic.com/,有,"平日9：00-11：30、14：00-16：30
水・土9：00-11：30",有,埼玉県,狭山市,35.877148,139.428284
医療法人社団小室医院,358-0004,埼玉県入間市鍵山1-12-16,04-2962-2951,http://www.komuroclinic.or.jp/,有,"月・火・木・金9：00-11：30,14：00-17：30
水・土9：00-11：30",有,埼玉県,入間市,35.844196,139.38269
段塚クリニック,358-0011,埼玉県入間市下藤沢368-3,04-2964-3511,http://www.citydo.com/sp/04-2964-3511,有,"平日9：00-12：00、14：00-17：30
土曜9：00-12：00",有,埼玉県,入間市,35.823341,139.405472
メディカルパーク入間,358-0024,埼玉県入間市久保稲荷1-29-3,04-2966-8103,,有,"平日8：30-16：00
土曜8：30-16：00",有,埼玉県,入間市,35.827381,139.392563
吉田産科婦人科医院,358-0054,埼玉県入間市野田640-5,04-2932-8783,http://www.yosida-clinic.jp/,有,"平日8：30-17：30
土曜8：30-17：00",有,埼玉県,入間市,35.84642,139.356171
芳村医院,350-1249,埼玉県日高市高麗川2-15-15,042-985-1433,,有,"平日8：30-17：30
土曜8：30-12：00",有,埼玉県,日高市,35.894699,139.335785
令和レディースクリニック,350-1223,埼玉県日高市高富46-7,042-984-0311,https://reiwa-lc.com/,有,月～土9：00-11：30、14：00-16：30,有,埼玉県,日高市,35.876175,139.38829
"埼玉医療生活協同組合
羽生総合病院",348-8505,埼玉県羽生市下岩瀬446番地,048-562-3000,http://www.fureaihosp.or.jp/hanyuhp/,有,24時間緊急対応可能,有,埼玉県,羽生市,36.159573,139.52655
"医療法人基信会
池畑クリニック",361-0072,埼玉県行田市宮本16-1,048-556-2295,無,有,"月、火、水、金9:00-12:30、16:30-18:30
木、土9:00-12:30",有,埼玉県,行田市,36.144093,139.460693
スピカレディースクリニック,347-0017,埼玉県加須市南篠崎2252,0480-65-7750,http://www.spica-lc.com/,有,月～土9:00-17:00,有,埼玉県,加須市,36.121265,139.62825
中村レディスクリニック,348-0046,埼玉県羽生市中岩瀬612,048-562-3505,http://www.nakamuraladies.com/,有,"月、火、木、金9:00-12:00、15:00-17:30
水、土9:00-12:00",有,埼玉県,羽生市,36.16309,139.534485
医療法人双鳳会山王クリニック,349-0214,埼玉県白岡市寺塚123-1,0480-93-0311,http://www.sannoh.or.jp,有,"月～日9:00-12:00（祝日以外毎日）
火金土14:00-17:00",有,埼玉県,白岡市,36.025146,139.670761
医療法人愛生会内科・婦人科クリニック,346-0003,埼玉県久喜市久喜中央4丁目3番1号,0480-21-0721,aiseikai-cl.com,有,"9:00-12:00、15:00-16:30（PMは予約制）
水曜PM、日、祝は休診",有,埼玉県,久喜市,36.067654,139.672516
女性クリニック蓮田,349-0111,埼玉県蓮田市東5-2-13 NKBﾋﾞﾙ4階,048-765-3377,https://www.jyosei-clinic.com,有,"平日9:30-12:30、14:30-19:00
土日9:00-12:30、14:00-16:30",有,埼玉県,蓮田市,35.981613,139.653625
