施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
"ペリネイト母と子の
サテライトクリニック",700-0821,"岡山県岡山市北区中山下1-8-45
NTTクレド岡山ビル８F",086-221-1188,http://www.perineito.com,有,"月・火曜 9：00-12：30、16：30-18：30
水・金曜 9：00-12：30、17：00-19：00
木曜 9：00-12：30
完全予約制",有,岡山県,岡山市北区,34.662495,133.927246
医療法人堀産婦人科医院,700-0821,岡山県岡山市北区中山下2-8-14,086-222-4949,http://www.sikyu.com,有,"水・土曜 9：00-12：00
（必ず電話連絡の上、受診）","有
（1名分）",岡山県,岡山市北区,34.660206,133.926926
"医療法人 産婦人科
山下クリニック",701-1202,岡山県岡山市北区楢津394-1,086-284-5511,https://www.ycl.jp,有,"月曜 9：00-12：00、16：00-19：00
火・木・金曜 9：00-12：30
16：00-19：00
土曜 9：00-13：00
日曜 9：00-12：30",有,岡山県,岡山市北区,34.679974,133.885834
"医療法人
ももレディースクリニック",701-0136,岡山県岡山市北区西花尻1200-3,086-903-2248,http://www.momo-lc.jp,有,"平日 9：00-12：00、15：00-18：30
土曜 9：00-12：00、15：00-17：00
水・日曜、祝日 休診",有,岡山県,岡山市北区,34.657951,133.856049
"くにかたウィメンズクリ
ニック",700-0065,岡山県岡山市北区野殿東町1-35,086-255-0080,http://www.kunikata.com,有,"月・火・水・金・土曜 9：30-12：30
15：00-18：00
木曜 9：30-12：30
日曜・祝日は休診",有,岡山県,岡山市北区,34.658482,133.881927
"ウィメンズクリニック・か
みむら",700-0901,"岡山県岡山市北区本町4-18
コア本町3F",086-803-5338,http://wck-ok.sakura.ne.jp/wpwp,有,"平日 9：00-18：00
他 応相談",有,岡山県,岡山市北区,34.66465,133.922073
野上医院,703-8204,岡山県岡山市中区雄町490-1,086-279-3018,無,有,"月・火・水・金曜 9：00-12：00
15：00-18：00
木・土曜 9：00-12：00",有,岡山県,岡山市中区,34.687347,133.975174
"医療法人社団明和会
ペリネイト母と子の病院",703-8263,岡山県岡山市中区倉益203-1,086-276-8811,http://www.perineito.com,有,"月～金曜 9：00-12：30、16：00-19：00
土曜 9：00-12：30",有,岡山県,岡山市中区,34.642857,133.973465
医療法人 井上医院,703-8232,岡山県岡山市中区関22,086-201-1515,http://www.inoue-iin.jp,有,"月・火・水・金曜 9：00-12：00
15：00-18：00
木・土曜 9：00-12：00",有,岡山県,岡山市中区,34.675747,133.971939
"しな子レディースクリニッ
ク",703-8266,岡山県岡山市中区湊495-1,086-201-7772,http://www.shinako-ladiesclinic.com,有,"月・火・水・金曜 9：00-12：00
14：30-17：00
木・土曜 9：00-12：00",有,岡山県,岡山市中区,34.649559,133.955795
産科婦人科浮田病院,704-8117,"岡山県岡山市東区西大寺南2丁目
5-18",086-942-5850,,有,"平日 9：00-12：15、15：30-18：00
木・土曜 9：00-12：15
日曜・祝日、木・土曜の午後 休診",有,岡山県,岡山市東区,34.651676,134.034866
医療法人国泰会丹羽病院,709-0631,岡山県岡山市東区東平島1036-3,086-297-5511,http://www.niwa.or.jp,有,"月・火・水・金曜 9：00-18：30
木曜 9：00-12：30
土曜 9：00-17：30",有,岡山県,岡山市東区,34.716579,134.046677
"医療法人
さくらクリニック",700-0945,岡山県岡山市南区新保658-4,086-241-8188,http://www.sakura-clinic.com,有,"月・水曜 9：00-12：30、15：00-18：30
火曜 9：00-13：00、14：00-17：00
木曜 9：00-12：30
金曜 9：00-12：00 15：00-18：30
土曜 9：00-13：00",有,岡山県,岡山市南区,34.632011,133.909119
"医療法人生萌会
さわだレディスクリニック",700-0953,岡山県岡山市南区西市584-1,086-246-4103,http://www.sawada-lc.com,有,"月～土曜 9：00-12：30、16：00-19：30
但し 水・土曜は 午後休診",有,岡山県,岡山市南区,34.633381,133.894852
岡南産婦人科医院,702-8043,岡山県岡山市南区平福2-6-43,086-264-3366,http://www.tamano.or.jp/kohnan,有,"月・火・水・土曜 9：00-18：00
日曜 9：00-12：00",有,岡山県,岡山市南区,34.616169,133.94986
"社会医療法人全仁会
倉敷平成病院",710-0826,岡山県倉敷市老松町4-3-38,086-427-1111,http://www.heisei.or.jp/beauty,有,"月・火・木・金曜 9：00-11：00
13：00-16：00
水・土曜 9：00-11：00",有,岡山県,倉敷市,34.593128,133.762329
倉敷市立市民病院,711-0921,"岡山県倉敷市児島駅前2丁目39番
地",086-472-8111,http://www.city.kurashiki.okayama.jp/hospital,有,平日 9：00-16：00,無,岡山県,倉敷市,34.467388,133.80542
玉島病院,713-8103,岡山県倉敷市玉島乙島4030,086-522-4141,http://www.tamashimahosp.or.jp,有,"月・火・金曜 9：00-11：30
水曜 9：00-11：30、15：00-17：30
木・土曜 9：00-11：30、16：00-17：30",有,岡山県,倉敷市,34.540283,133.681259
"医療法人
浅野産婦人科",710-0252,岡山県倉敷市玉島爪崎622-2,086-522-7575,無,有,"月・火・木・金曜 9：00-12：00
16：00-18：00
水・土曜 9：00-12：00
日曜・祝日 休診",有,岡山県,倉敷市,34.566807,133.682602
倉敷成人病クリニック,710-0824,岡山県倉敷市白楽町250番地1,086-422-2111,http://www.fkmc.or.jp,有,"平日 8：30-11：30
13：30-16：30",有,岡山県,倉敷市,34.587917,133.764633
川崎医科大学附属病院,701-0192,岡山県倉敷市松島577,086-462-1111,https://h.kawasaki-m.ac.jp,有,24時間対応可能,有,岡山県,倉敷市,34.631077,133.809937
"医療法人
山内産婦人科クリニック",710-0001,岡山県倉敷市三田126-1,086-463-3550,https://www.yamauchi-ok.jp,有,"月・火・水・金曜 9：00-12：00
15：30-18：30
木曜 9：00-12：00
土曜 9：00-12：00、15：30-18：00
日曜・祝日・木曜午後 休診
原則、外来診療時間内での対応ですが、
24時間電話相談可能です。",有,岡山県,倉敷市,34.632912,133.796509
西沢医院,710-0052,岡山県倉敷市美和1丁目12-8,086-421-2438,無,有,"月～土曜 8：30-11：30
15：30-17：30
木・土曜 午後休診
日曜・祝日 休診",有,岡山県,倉敷市,34.600285,133.777283
"医療法人
橘産婦人科医院",710-0842,岡山県倉敷市吉岡275,086-426-0381,無,有,"月・火・水・金・土曜 9：00-12：00
15：00-18：00
木曜 9：00-12：00
日曜・祝日 休診",有,岡山県,倉敷市,34.568165,133.769501
一般財団法人赤堀病院,708-0051,岡山県津山市椿高下33,0868-24-1212,http://www.akahori.or.jp,有,"月・火・水・金・土曜 8：30-17：00
木曜 8：30-13：00",有,岡山県,津山市,35.0653,134.000671
光井産婦人科,708-0036,岡山県津山市南新座18,0868-22-7291,http://www.mitsui-lc.jp,有,"平日 9：00-18：00
土曜 9：00-17：00
火・木曜 9：00-12：30",有,岡山県,津山市,35.058826,133.996628
井原市立井原市民病院,715-0019,岡山県井原市井原町1186番地,0866-62-1133,http://www.ibarahp.jp,有,水・金曜 8：30-11：30、13：00-14：30,"有
診療可能時間帯に限る（プ
ラノバール）",岡山県,井原市,34.603596,133.458786
くにとみクリニック,719-1156,岡山県総社市門田78-1,0866-92-0255,http://www.kunitomi-clinic.jp,有,"平日 9：00-18：45
土曜 9：00-15：30",有,岡山県,総社市,34.676983,133.746765
尾島クリニック,716-0028,岡山県高梁市柿木町5,0866-22-2385,http://www.ojimaclinic.com,有,"平日 9：00-18：00
土曜 9：00-16：00",有,岡山県,高梁市,34.794769,133.617233
産科・婦人科 片山医院,709-0825,岡山県赤磐市馬屋646,086-229-2166,http://katayamaiin.com,有,"日・木曜 9：00-12：30、午後休診
月・水・金・土 9：00-12：30、
15：00-18：00
火曜 休診",有,岡山県,赤磐市,34.73634,133.998947
総合病院落合病院,719-3197,岡山県真庭市落合垂水251,0867-52-1133,http://ochiaihp.jp,有,"平日 9：00-17：00
土曜 9：00-12：00
（第３土曜以外）",有,岡山県,真庭市,35.018055,133.751343
山田医院,707-0025,岡山県美作市栄町10-14,0868-72-0222,無,有,"月・火・水・金曜 9：00-12：30
14：00-18：00
木・土曜 9：00-12：30、午後休診
日曜・祭日 休診",有,岡山県,美作市,35.007256,134.148697
