施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
"医療法人社団 みやもと
レディースクリニック",760-0075,香川県高松市楠上町２丁目3-15 ２階,087-806-1177,http://miyamoto-lc.p-kit.com/,有,"平日9:30～18:30
木9:30～12:30
土9:30～17:00",有,香川県,高松市,37201,34.330147,134.057129
森産婦人科医院,760-0052,香川県高松市瓦町２丁目3-5,087-831-5513,http://morisanfujinka.jp/,有,"平日9:00～17:00
土曜9:00～16:30
但し木曜午後、第３土曜は除く",有,香川県,高松市,37201,34.340237,134.052353
小豆島中央病院,761-4301,香川県小豆郡小豆島町池田2060‐1,0879-75-11h2t1tp:,//scha.jp/departent/obstetrics/,about 有,"月・水・木・金8:00～11:00
火曜8:00～11:00 12:30～15:00",有,香川県,小豆郡小豆島町,37324,34.486359,134.245407
"鈴木レディースクリニッ
ク",760-0066,香川県高松市福岡町３丁目11-27,087-826-2288,―,有,"月・水・金8:30～12:30 14:00～17:30
火・土8:30～12:30
木・日・祝日 休診",有,香川県,高松市,37201,34.345474,134.06871
"医療法人社団如水会 オ
リーブ高松メディカルク
リニック",760-0076,香川県高松市観光町649-8,087-839-9607,―,有,"平日（火・水・木）9:00～11:30、13:30～
14:30",無,香川県,高松市,37201,34.334282,134.063568
"医療法人社団愛和会 あ
さひクリニック",760-0076,香川県高松市観光町538-2,087-831-0280,http://www.asahi-cl.jp,有,"月・火・木・金9:00～12:30 15:00～18:00
水・土9:00～12:30",有,香川県,高松市,37201,34.33456,134.062775
"医療法人社団美術館北通
り診療所",760-0029香川,香川県県高松市丸亀町13番地3 高松丸亀町商店街参番街,東館0847F-813-2220,http://www.machikuri.or.jp,有,"月・火・木・金・土9:00～13:00 15:00～
18:00",有,香川県,県高松市,,34.342793,134.04657
"社会医療法人財団大樹会
総合病院回生病院",762-0007,香川県坂出市室町三丁目5番28号,0877-46-1011,https://www.kaisei.or.jp/,有,平日9:00～17:00,有,香川県,坂出市,37203,34.317375,133.862579
"サンフラワーマタニ
ティークリニック",761-8073,香川県高松市太田下町3017-3,087-868-4103,http://www.sfmc.jp/,有,"月・火・金9:00～12:00 15:00～18:00
水・木9:00～12:00、土曜9:00～14:00
日曜、祝祭日は休診",有,香川県,高松市,37201,34.301304,134.051163
坂出市立病院,762-8550,香川県坂出市寿町三丁目1番2号,0877h-t4t6p-s5:1/3/1www,.city.sakaide.lg.jp/site/sakaid,e-hospital/ 有,"月曜日8:30～11:30
木曜日8:30～16:30",有,香川県,坂出市,37203,34.316513,133.850418
"医療法人社団 くろべク
リニック",760-0080,香川県高松市木太町1335-4,087-867-2267,www.kurobe-cl.com,有,"月・水・金9:00～12:30 14:00～18:00
火・木9:00～12:30、土9:00～13:00",有,香川県,高松市,37201,34.320251,134.073074
"独立行政法人国立病院機
構 四国こどもとおとな
の医療センター",765-8507,香川県善通寺市仙遊町２丁目1-1,0877-62-1000,https://shikoku-mc.hosp.go.jp/,無,性被害のときのみ対応：24時間,有,香川県,善通寺市,37204,34.228912,133.771484
高松赤十字病院,760-0017,香川県高松市番町４丁目1-３,087-831-7101,http://www.takamatsu.jrc.or.jp,有,当番日9:00～18:00,有,香川県,高松市,37201,34.340801,134.044464
"香川県厚生農業協同組合
連合会 滝宮総合病院",761-2393,香川県綾歌郡綾川町滝宮486番地,087-876-1145,http://www.takinomiya-hp.com/,有,平日8:30～17:00,無,香川県,綾歌郡綾川町,37387,34.248264,133.925201
陽子レディスクリニック,760-0029,香川県高松市丸亀町1-1高松丸亀町壱番街西館２階,087-811-6607,http://www.yokoladies.com,有,"平日10:00～19:00
土曜10:00～14:00
休診日：水、日、祝日",有,香川県,高松市,37201,34.345768,134.050293
"独立行政法人地域医療機
能推進機構りつりん病院",760-0073,香川県高松市栗林町三丁目5番9号,087-862-3171,http://ritsurin.jcho.go.jp,有,"月・火・水・金9:00～11:30 13:30～16:00
木9:00～11:30
※婦人科が臨時休診の場合は対応できません。",有,香川県,高松市,37201,34.329163,134.050781
さぬき市民病院,769-2393,香川県さぬき市寒川町石田東甲387番地1,0879-43-2h5t2t1ps:,//www.city.sanuki.kagawa.jp/hos,pital/ 有,"平日 月・水・木9:00～15:00
火・金9:00～11:00",有,香川県,さぬき市,37206,34.267349,134.20166
"独立行政法人労働者健康
安全機構 香川労災病院",763-8502,香川県丸亀市城東町三丁目3番1号,0877-23-3111,https://www.kagawah.johas.go.jp,有,平日8:30～17:00,有,香川県,丸亀市,37202,34.288284,133.805466
