施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
阿蘇温泉病院,869-2301,熊本県阿蘇市内牧１１５３－１,0967-32-0881,http://asospahp.jp/,有,"平日：9:15-17:00
休日・夜間は電話連絡が必要
（対応可）観光客などに３６５日
２４時間対応",有,熊本県,阿蘇市,43214,32.972763,131.04454
坂本産婦人科クリニック,865-0025,熊本県玉名市高瀬３５,0968-74-2045,http://www.sakamotolc.net/,有,"月・火・水・金：9:30-17:30
木・土：9:30-12:30",有,熊本県,玉名市,43206,32.930958,130.565323
斎藤産婦人科医院,861-1307,熊本県菊池市片角２９４－２,0968-24-1177,http://saitolcl.com/,有,"平日：9:00-18:00
木・土曜：9:00-12:00",有,熊本県,菊池市,43210,32.976204,130.81424
"まつばせレディースクリ
ニック",869-0502,熊本県宇城市松橋町松橋６８９番地の１,0964-34-0303,https://matsubase.or.jp/,有,２４時間対応,有,熊本県,宇城市,43213,32.654797,130.682602
"よしむら産婦人科皮ふ科
クリニック",860-0851,熊本県熊本市中央区子飼本町６番２０号,096-345-8300,http://www.yoshimura-gdc.jp/,有,"月・火・木・金（9:00-17:30)
水（9:00-12:00）
土（9:00-15:00)",有,熊本県,熊本市中央区,43101,32.812885,130.722122
"福田クリニック・産婦人
科内科",869-5133,熊本県八代市日奈久中西町４１８,0965-38-0068,なし,有,"平日：9:00-18:00
土曜：9:00-12:30",有,熊本県,八代市,43202,32.432392,130.572845
"医療法人英会産科婦人科
うしじまクリニック",862-0962,熊本県熊本市南区田迎４丁目７の２３,096-379-2727,https://ushijima-cl.com/,有,"月・火・木・金
（9:00-12:30,14:00-18:00)
水（9:00-12:30）
土（9:00-12:30,13:30-15:30)",有,熊本県,熊本市南区,43104,32.775715,130.714584
"森川レディースクリニッ
ク",862-0950,熊本県熊本市水前寺６丁目３１番１号,096-381-4115,http://www.morikawa-lc.or.jp/,有,"月・火・木・金
（9:00-13:00,14:30-18:30）
水・土（9:00-13:00)",有,熊本県,熊本市中央区,43101,32.788517,130.745804
八木産婦人科医院,862-0950,熊本県熊本市中央区水前寺１丁目１９－５,096-383-2311,http://www.yagisanfujinka.jp/,有,"月・火・金
（9:00-12:30、14:00-17:30)
水・土（9:00-12:30、
14:00-16:00)
木（9:00-12:30、14:30-19:00)",有,熊本県,熊本市中央区,43101,32.793507,130.729004
"医療法人西原会
清ら内科産婦人科医院",861-8029,熊本県熊本市東区西原２丁目１１－３,096-382-3388,"http://www.facebook.com/kiyora.ob.
gyn",有,"平日：9:00-18:00
水・土：9:00-13:00",有,熊本県,熊本市東区,43102,32.815315,130.755569
ゆのはら産婦人科医院,860-0812,熊本県熊本市中央区南熊本５丁目９番３号,096-372-1110,http://yunohara.jp/,有,"月・火・水・金・土 午前9:30-
13:00
午後14：00-
18：30
水曜午後は手術が入ることがあり
ますので、電話でご確認の上ご来",有,熊本県,熊本市中央区,43101,32.785183,130.711029
桑原産科婦人科医院,861-2101,熊本県熊本市東区桜木2-2-6,096-365-4103,http://kuwahara-obgyn.jp/about/,有,"平日（9:00-12:00.14:00-17:30）
金曜 午前のみ
土曜（9:00-12:00.14:00-15:00）",有,熊本県,熊本市東区,43102,32.779312,130.780548
福田病院,860-0004,熊本県熊本市中央区新町2丁目2番6号,096-322-2995,http://www.fukuda-hp.or.jp/,有,月曜～土曜9：00～17：30,有,熊本県,熊本市中央区,43101,32.799911,130.698929
鬼塚クリニック,863-0046,熊本県天草市亀場町食場984-1,0969-24-3636,なし,有,"月・水・木・金（9:00-18:00)
火・土（9:00-13:00)
時間外でも対応可能な場合あり",有,熊本県,天草市,43215,32.426987,130.172287
北熊本井上産婦人科医院,861-5517,熊本県熊本市北区鶴羽田1丁目14番27号,096-345-3911,http://www.inoue-sanfujinka.jp/,有,"月・火・水・金
（9:00-11:30・14：00-17：30)
木（9:00-12:30)
土（9：00-11：30・14：00-14：
30）",有,熊本県,熊本市北区,43105,32.854694,130.72644
伊井産婦人科病院,862-0973,熊本県熊本市中央区大江本町8番15号,096-364-4003,https://www.ii-sanhujinka.com/,有,"平日（9：00-18：00）
土曜（9：00-13：00）
日・祝は診療なし",有,熊本県,熊本市中央区,43101,32.794586,130.72316
山鹿市民医療センター,861-0593,熊本県山鹿市山鹿511,0968-44-2185,http://yamaga-medical-center.jp/,有,平日（8：30-17：15）,有,熊本県,山鹿市,43208,33.014771,130.698303
さかぐち女性のクリニック,862-0924,熊本県熊本市帯山3丁目15-10,096-382-3600,https://sakaguchi-wclinic.com/,有,"月・金・土（9：00-18：00）
火・水（9：00-19：00）",有,熊本県,熊本市東区,43102,32.799923,130.750076
"医療法人社団ソフィア愛
育会 ソフィアレディー
スクリニック水道町",860-0844,熊本県熊本市中央区水道町9番5-1,096-322-2996,http://www.suidouchou-lc.jp/,有,"月・火・木・金・土
（10:00-14:00･16：00-19：00)
水曜（10:00-13:00･15:00-18:00)
日・祝（8:30-12：00）",有,熊本県,熊本市中央区,43101,32.802574,130.714096
"医療法人セント･ソフィア
片岡レディスクリニック",866-0861,熊本県八代市本町3丁目3-35,0965-32-2344,http://www.kataoka-lc.com/,有,"平日：9:00-18:30
土曜：9:00-15:00",有,熊本県,八代市,43202,32.50547,130.596954
橋本産婦人科医院,866-0081,熊本県八代市植柳上町931,0965-32-4155,"http://www.hashimoto-
sanfujinka.com/",有,"平日（9:00-12:30.14:00-18:00）
土曜（9:00-12:30）",有,熊本県,八代市,43202,32.488819,130.601959
"産科婦人科
まつおレディースクリ
ニック",864-0041,熊本県荒尾市荒尾4160-257,0968-66-3110,http://www.matsuo-lc-com/,有,24時間,有,熊本県,荒尾市,43204,32.981022,130.46489
荒尾市民病院,864-0041,熊本県荒尾市荒尾2600番地,0968-63-1115,http://www.hospital.arao.kumamoto.j,有,"平日：8:30-17:15
それ以外も対応可能な場合あり",有,熊本県,荒尾市,43204,32.975285,130.446655
下川産婦人科医院,865-0064,熊本県玉名市中1806,0968-73-3527,なし,有,"平日：9:00-17:30
火曜・土曜：9:00-12:00",有,熊本県,玉名市,43206,32.928574,130.549484
"レディースクリニック
なかむら",861-8039,熊本県熊本市東区長嶺南1-5-48,096-213-1555,https://www.lc-nakamura.com/,有,"月・水・金
（10:00-13:00・16：00-20：00)
土（10:00-13:00-16：00-18：00)
日（10：00-13：00）",有,熊本県,熊本市東区,43102,32.811764,130.766037
"医療法人社団 博慈会
ちが産婦人科医院",869-1102,熊本県菊池群菊陽町大字原水295-1,096-232-9131,"http://www.web-clover.net/chiga-
c/",有,"月・火・金
（9:00-11:30･14:00-17:30)
水（9:00-11:30-15：00-17:30)
土（9：00-11:30）",有,熊本県,菊池郡菊陽町,43404,32.979485,130.813248
うちの産婦人科,861-4113,熊本県熊本市南区八幡5丁目10-12,096-288-5566,http://www.uchino.or.jp/,有,"月・火・水・金
（9:00-12:00･14:00-18:00)
木（9:00-12:00)
土（9：00-13:00）",有,熊本県,熊本市南区,43104,32.74567,130.681183
末永産婦人科医院,860-0051,熊本県熊本市西区二本木2丁目10-13,096-352-7280,https://suenaga-obgyn.com/,有,"月・木（9:00-19:00)
火・水・金（9:00-18:00)
土（9：00-15:00）",有,熊本県,熊本市西区,43103,32.785046,130.69043
"医療法人 フェリチタ
前田産婦人科医院",862-0963,熊本県熊本市南区出仲間7丁目2-32,096-378-8010,http://www.maedalc.com/,有,"月・火・木・金
（9:00-12:00･14:00-18:00)
水・土（9:00-12:00)",有,熊本県,熊本市南区,43104,32.77013,130.71788
"医療法人社団
桑原産婦人科医院",866-0852,熊本県八代市大手町7-22,0965-32-3405,"http://www.kuwahara-
sanfujinka.net/",有,24時間対応可能,有,熊本県,八代市,43202,32.507153,130.614807
長嶺そよかぜクリニック,862-0920,熊本県熊本市東区月出６－５－１３０,096-285-4121,http://www.nagaminesoyokaze.com,有,"月・火・木・金 （９：００－１８：００）
水・土 （９：００-１２：００）",有,熊本県,熊本市東区,43102,32.806049,130.773132
