施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
蕙愛レディースクリニック,７７０－００２３,徳島県徳島市佐古３番町４ー６,０８８－６５３－１２０１,http://www.keiai-hp.com,有,月～土曜日 8時～18時,無,徳島県,徳島,,34.076675,134.536697
住吉レディースクリニック,７７３－０００５,徳島県小松島市南小松島町８－３,０８８５－３２－０８３６,http://www.komaｔsushima.ne.jp/anzan/,有,平日9時～17時 木・土曜日 9時～12時,少々有,徳島県,小松島,,34.006104,134.588013
国府藤田産婦人科,７７９－３１２４,徳島県徳島市国府町中１７１－４,０８８－６４２－１０２６,,有,月、火、水、金、土曜日 9時～12時,有,徳島県,徳島,,34.069096,134.480148
梶産婦人科,７７０－０８３２,徳島県徳島市寺島本町東２－２２－２,０８８－６２２－１６８０,https://www.kaji-sanfujinka.com,有,"月～土曜日 9時～12時30分 14時30分～18時（木曜日は9時～
12時30分のみ）",有,徳島県,徳島,,34.073177,134.552948
つるぎ町立半田病院,７７９－４４０１,徳島県美馬郡つるぎ町半田字中藪２３４－１,０８８３－６４－３１４５,http://www.handa-hospital.jp,有,24時間,病院前院外薬局に有,徳島県,美馬郡つるぎ町,36468,34.041969,134.051361
だいとうレディースクリニック,７７２－００１１,徳島県鳴門市撫養町大桑島字北浜７１,０８８－６８３－１５８８,www.daito-lc.com,有,"平日8時30分～12時30分、14時30分～18時（木曜日除く） 土
曜日8時30分～12時30分",有,徳島県,鳴門市,36202,34.189743,134.60434
祖川産婦人科クリニック,７７０－０００３,徳島県徳島市北田宮３丁目５ー６５,０８８－６３３－１１３３,http://www.sogawa.jp,有,原則24時間,有,徳島県,徳島,,34.088081,134.539169
しんくら女性クリニック,７７０－０８５５,徳島県徳島市新蔵町３丁目５９,０８８－６０２－２０８８,http://shinkurajyosei-clinic.jp/,有,"月、火、木、金、土9時～12時30分 14時～18時（ただし第
１・３・５木曜日は9時～12時30分のみ） 水（9時～12時30
分）",有,徳島県,徳島,,34.069767,134.561844
ルナウイメンズクリニック,７７１－０２０３,徳島県板野郡北島町中村字城屋敷１９－１３,０８８－６９７－２３２２,http://luna-wc.com,有,"月、火、木、金、土曜日 9時～12時30分 14時30分～18時30
分 水曜日9時～12時30分",有,徳島県,板野郡北島,,34.130909,134.54689
平尾レディースクリニック,７７０－８０２４,徳島県徳島市西須賀町下中須８５ー７,０８８－６６９－６３６６,http://www.hirao-ladiesclinic.com/,有,"月、火、木、金 9時～12時30分 14時30分～18時 水 9時～
12時30分 土 9時～12時30分 14時30分～17時",有,徳島県,徳島,,34.033131,134.546555
徳島県鳴門病院,７７２－８５０３,徳島県鳴門市撫養町黒崎字小谷３２番,０８８－６８３－００１１,https://naruto-hsp.jp,有,原則24時間365日,有,徳島県,鳴門市,36202,34.182671,134.594543
仁木訪問診療クリニック,７７０－０８５６,徳島県徳島市中洲町１丁目６４ー２,０８８－６１１－２１２８,,有,平日９時～18時 土曜日9時～13時,有,徳島県,徳島,,34.068565,134.557129
吉野川医療センター,７７６－００１４,徳島県吉野川市鴨島町知恵島字西知恵島１２０,０８８３－２６－２２２２,http://ja-ymc.jp,有,平日8時30分～11時（受付）,有,徳島県,吉野川市,36205,34.079422,134.347824
阿南医療センター,７７４－００４５,徳島県阿南市宝田町川原６番地１,０８８４－２８－７７７７,http://www.anan-medc.jp,有,24時間,有,徳島県,阿南市,36204,33.92429,134.646057
山城公園レディースクリニック,７７０－８０５４,徳島県徳島市山城西３丁目２６,０８８－６７６－３３７０,www.yamashiro-park-lc.jp/,有,"月～土９：００～１２：３０ 月火木金１５：００～１８：３
０ 土１５：００～１６：３０",有,徳島県,徳島,,34.050056,134.555832
