施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
"医療法人社団昭信会 頼島産婦人科
病院",731-0113,"広島県広島市安佐南区西原５丁目１１－１
８",082-874-0523,http://www.yorishima-hospital.jp/,有,"月・水・金8:30-12:00,14:30-17:30/火・木・土8:30-12:00",有,広島県,広島市安佐南区,34.442554,132.468765
"広島医療生活協同組合 広島共立病
院",731-0121,"広島県広島市安佐南区中須二丁目２０－２
０",082-879-1111,http://www.hiroshimairyo.or.jp/,有,"月・火・木8:30-16:00/水・金・土（奇数週のみ）8:30-
11:30",無,広島県,広島市安佐南区,34.460533,132.475372
舛本産婦人科医院,731-0141,広島県広島市安佐南区相田２－７－２２,082-878-1111,www.masumoto-ladys-clinic.jp,有,"（午前）月～土 9:00－12:30/
（午後）月・水・金15:00－17:30",有,広島県,広島市安佐南区,34.472721,132.450409
緑井レディースクリニック,731-0103,"広島県広島市安佐南区緑井一丁目５－１
緑井スカイステージ３F３０２号",082-831-2300,http://www.midorii-clinic.jp,有,"月・火・水・金9:30-13:00,14:30-17:30/土9:30-
12:00,13:00-14:30",有,広島県,広島市安佐南区,34.46632,132.476212
井上産婦人科クリニック,731-3167,"広島県広島市安佐南区大塚西３－１１－３
６",082-848-7010,,有,"平日9:00-12:30,15:00-18:00（木曜以外）/土曜9:00-12:30
木曜・日曜休診",有,広島県,広島市安佐南区,34.442833,132.401382
すみれ産婦人科クリニック,731-0103,"広島県広島市安佐南区緑井五丁目２９－１
８",082-831-0160,www.sumire-wcl.com,有,"診療時間内に対応 月・火・木・金9:00-12:30,14:00-
18:00/水9:00-12:30/土9:00-13:00",有,広島県,広島市安佐南区,34.467442,132.477737
やすクリニック,731-0154,広島県広島市安佐南区上安一丁目１－１８,082-878-7101,www.yasuclinic.com,有,"月・火・水・金9:00-12:00,14:30-16:30/木・土9:00-12:00
（臨時休診の場合あり）",有,広島県,広島市安佐南区,34.474167,132.451218
"ぎおん皮膚科婦人科スキンケアクリ
ニック",731-0138,"広島県広島市安佐南区祇園５丁目２－４５
２０２",082-832-4112,http://www.gion-cl.com,有,"月・火・木・金9:00-12:00,15:00-18:00/水・土9:00-12:00",有,広島県,広島市安佐南区,34.447208,132.46048
"医療法人 紹応会 河田産婦人科医
院",731-5135,"広島県広島市佐伯区海老園一丁目２番１３
号",082-921-3501,http://kawata-obgy.com/,有,"平日（月・火・水・金）9:00-12:00,15:00-17:30/土曜日
9:00-12:00,15:00-17:00",有,広島県,広島市佐伯区,34.365211,132.356506
さくらウィメンズクリニック,731-5125,"広島県広島市佐伯区五日市駅前一丁目５
－１８－４０２",082-943-5512,https://www.sakurawc.com,有,"月・火・木・金9:00-12:30,14:30-18:00/水9:00-12:30/土
9:00-14:00",有,広島県,広島市佐伯区,34.367748,132.367996
"医療法人 双藤会 産科・婦人科 藤
東クリニック",735-0029,広島県安芸郡府中町茂陰一丁目１番１号,082-284-2410,https://fujito.clinic,有,"平日（月・火・水・金）9:00-12:30，15:00-17:30/木曜
9:00-12:30/土曜9:00-12:30,15:00-17:00",有,広島県,安芸郡府中町,34.389473,132.502853
医療法人 津田産婦人科クリニック,736-0032,広島県安芸郡海田町南幸町９－４３,082-821-0303,http://www.tsuda-sanfujinka.jp,有,"平日（月・火・水・金）9:00-12:30,15:00-17:30/木・土
9:00-12:30",有,広島県,安芸郡海田町,34.363708,132.539566
医療法人豊田レディースクリニック,731-4223,広島県安芸郡熊野町川角四丁目３０番１号,082-855-1913,www.toyota-lc.jp,有,"月・火・水・金・土9:00-12:00,14:00-17:00",有,広島県,安芸郡熊野町,34.323914,132.573395
レディースクリニックとよしま医院,739-0612,広島県大竹市油見三丁目１９－６,0827-53-7789,,有,"月・火・水・金9:00-12:30,14:00-18:00/木・土9:00-12:30",有,広島県,大竹市,34.220398,132.220566
"医療法人社団 江川レディースクリ
ニック",738-0015,広島県廿日市市本町５－１８,0829-31-0461,http://www.egawa.or.jp/,有,"月・火・水・金・土9:00-13:00,15:00-17:00",有,広島県,廿日市市,34.351494,132.334259
ひさまつ産婦人科医院,738-0034,広島県廿日市市宮内１４４８番地１,0829-39-1131,http://hisamatsu.or.jp/,有,"平日 9:00-12:00,14:00-17:30/土曜 9:00-12:30",有,広島県,廿日市市,34.350082,132.308914
青葉レディスクリニック,739-0401,広島県廿日市市福面２－１－１１,0829-50-2327,,有,"月・火・水・金9:00-12:00,14:00-18:00/木・土9:00-12:00",有,広島県,廿日市市,34.319099,132.298035
かとうレディースクリニック,738-0054,広島県廿日市市阿品３丁目１－６,0829-36-0135,www.kato-lc.jp/,有,"月・火・木・金9:00-12:30,14:30-18:00/水・土9:00-12:30",有,広島県,廿日市市,34.323738,132.318344
玉木産婦人科医院,737-0125,広島県呉市広本町３－２２－２６,0823-71-2248,,有,"9:00-12:00,14:30-18:00 ※水曜，土曜は午前のみ",有,広島県,呉市,34.237793,132.624817
末光産婦人科,737-0032,広島県呉市本町３－４,0823-21-1087,,有,平日8:00-18:00,有,広島県,呉市,34.24543,132.568024
田中産婦人科クリニック,737-0051,広島県呉市中央１丁目５－２８,0823-22-1321,,有,"平日8:30-12:00,14:00-18:30/土8:30-12:00",有,広島県,呉市,34.24472,132.560501
"木岡産婦人科・きおか皮ふ科クリニッ
ク",737-0935,"広島県呉市焼山中央２丁目５番７号クリ
ニックモールリフレ２Ｆ",0823-30-5711,http://www.kioka-clinic.net/,有,"平日（月・火・水・金）9:00-12:30,14:30-18:00/木・土
9:00-12:30",有,広島県,呉市,34.296101,132.557114
"医療法人社団 産婦人科小児科松田
医院",737-0046,広島県呉市中通２丁目４番１１号,0823-22-2253,,有,"月・火・水・金・土9:00-12:00,13:30-17:00/木9:00-12:00",有,広島県,呉市,34.245342,132.563919
笠岡レディースクリニック,737-0811,広島県呉市西中央１－３－９ ５Ｆ,0823-23-2828,https://kasaoka-clinic.jp,有,"月・火・水・金8:30-12:30,15:30-18:30/木8:30-12:00/土
8:30-12:00,14:00-16:00",有,広島県,呉市,34.24659,132.555954
さわさき婦人科・産科,737-0046,"広島県呉市中通１－３－１４ オールファー
マシウータウン３Ｆ",0823-21-2211,https://www.sawa0510.com/,有,"平日（木以外）8:30-12:00,13:30-17:00/平日（木）8:30-
12:00/土8:30-12:00",有,広島県,呉市,34.244072,132.562622
医療法人社団 樹章会 本永病院,739-0016,広島県東広島市西条岡町８－１３,082-423-2666,https://www.motonaga.or.jp/,有,月・火・水・金・土8:30-12:00,有,広島県,東広島市,34.428745,132.741974
医療法人社団 松田医院,739-0141,広島県東広島市八本松町飯田１０１,082-428-0019,"https://itp.ne.jp/info/340695722400
000899/",有,"月・火・水・金9:30-12:00,15:00-18:00/木・土9:30-
12:00(午後不可），日・祝は不可",有,広島県,東広島市,34.439552,132.679596
"医療法人大和会 西条ときわクリニッ
ク",739-0025,広島県東広島市西条中央５丁目４－１,082-493-5121,https://fdoc.jp/,有,"月～金（木曜除く）9:00-12:00.14:30-17:00（要予約，電話
にて問い合わせてください）/土8:00-11:30（人数制限あ
り）",有,広島県,東広島市,34.415569,132.741547
松林レディースクリニック,739-0024,"広島県東広島市西条町御薗宇４２８１－１
東広島クリニックビル３F",082-493-8600,http://www.matsubayashi-lc.com/,有,平日15:00-18:00/土曜日15:00-17:00,有,広島県,東広島市,34.406517,132.750931
いまじょうクリニック,739-2105,広島県東広島市高屋町檜山７９－１,082-426-6830,http://www.imajo-cl.com/,有,"月・火・水・金9:00-12:00,15:00-18:00/土9:00-
12:00,15:00-17:00 木・日曜休診",有,広島県,東広島市,34.439186,132.764359
総合病院三原赤十字病院,723-8512,広島県三原市東町二丁目７番１号,0848-64-8111,http://mihara.jrc.or.jp/,有,"平日(月～金) 8：30-16：00 ※変更の場合もありますので
事前に電話確認をお願いします。",有,広島県,三原市,34.402679,133.089722
社会医療法人里仁会 興生総合病院,723-8686,広島県三原市円一町２丁目５－１,0848-63-5500,http://kohsei-hp.jp,有,"月・水・金・土9:00-12:00,14:00-17:00/火・木9:00-12:00/
日9:00-12:00",有,広島県,三原市,34.392532,133.077255
柴田産婦人科皮膚科,723-0014,広島県三原市城町一丁目１９－１０,0848-62-2525,,有,"平日・土曜9:00-13:00（予約）
午後（平日）予約",有,広島県,三原市,34.398911,133.084488
堀田レディースクリニック,722-0024,広島県尾道市西則末町９－１６,0848-22-8844,http://www.bbbn.jp/-hlc/hlc7.htm,有,"平日10:00-12:30,15:00-18:00",有,広島県,尾道市,34.420986,133.187027
公立世羅中央病院,722-1112,広島県世羅郡世羅町本郷９１８番地３,0847-22-1127,http://www.serachuo-hp.jp,有,"平日9:00-12:00(受付8:30-11:30),13:30-17:00(受付13:30-
16:00)/土・日・祝は対応不可",無,広島県,世羅郡世羅町,34.585838,133.045853
松岡病院,720-0045,広島県福山市宝町５－３２,084-923-0385,http://www.matsuoka.or.jp,有,"平日9:00-12:30,15:00-18:00/木曜9:00-12:30",有,広島県,福山市,34.489876,133.366241
医療法人秀明会 小池病院,720-0807,広島県福山市明治町１０―５,084-932-3511,http://www.koike-byoin.com,有,"月・水・金・土9:00-12:30,15:00-18:00/火・木9:00-12:30",有,広島県,福山市,34.482803,133.368744
西福山病院,729-0104,広島県福山市松永町３４０－１,084-933-2110,http://nishifuk.or.jp/,有,"平日9:00-12:30,14:00-18:00/土9:00-13:00（夜間・日・祝
日は対応なし）※来院前に電話確認要",有,広島県,福山市,34.451309,133.259186
沼隈病院,720-0402,広島県福山市沼隈町中山南４６９－３,084-988-1888,http://shounankai.or.jp/,有,"月・水・金
9:30-12:30,14:30-17:00",有,広島県,福山市,34.409191,133.340179
医療法人社団 白河産婦人科,720-0033,広島県福山市旭町８－３,084-922-2235,http://shirakawa-clinic.jp/,有,"9:00-12:30,15:30-17:45 ※木曜日は午後休診 ※日・祝
日・年末年始は休診",有,広島県,福山市,34.490334,133.374832
かねもり婦人科クリニック,720-0077,広島県福山市南本庄３－２－６,084-923-0882,http://www.kanemori-clinic.jp/,有,"月・火・水・金9:30-13：00，15：30-18:30/日9:30-12:00
（ただし日曜日は休診の場合あり，事前にお問い合わせくだ
さい）/木・祝休診",有,広島県,福山市,34.484509,133.354523
"医療法人 マイビー まつなが産科婦
人科",720-0031,広島県福山市三吉町３丁目３番２３号,084-923-0145,http://www.mybee.or.jp,有,"月・火・金8:45-11:30,14:30-17:40/水・土8:45-11:30/木
8:45-11:30,14:30-16:40",有,広島県,福山市,34.492661,133.375626
"医療法人社団 幸の鳥レディスクリ
ニック",721-0907,広島県福山市春日町一丁目７－１４,084-940-1717,http://www.kohnotori.com,有,"月・火・水・金・土9:00-12:00,14:30-18:00",有,広島県,福山市,34.506813,133.401489
重政レディスクリニック,720-0825,広島県福山市沖野上町五丁目６－２３,084-922-5888,https://shigemasa-clinic.fmed.jp/,有,"月・火・水・金9:00-12:30,15:00-18:30/木・土9:00-12:30",有,広島県,福山市,34.473412,133.36467
"よしだレディースクリニック内科・小児
科",721-0955,広島県福山市新涯町３丁目１９－３６,084-954-0341,www.yoshida-ladies.net,有,"月・火・水・金9:00-12:30,15:00-18:00/木・土9:00-12:30",有,広島県,福山市,34.460827,133.391495
おおもとウィメンズクリニック,720-0832,広島県福山市水呑町４４４７番地,084-920-5155,http://ohwc.jp,有,"平日9:00-12:30,15:00-18:30（水は午後休診）/土9:00-
12:30,14:00-17:30 /日休診",有,広島県,福山市,34.445568,133.387192
府中市民病院,726-8501,広島県府中市鵜飼町５５５番地３,0847-45-3300,http://shimin.fuchuhp.jp/,有,平日 午前8:30-11:30 14:00-15:45,有,広島県,府中市,34.569576,133.248001
堀川レディースクリニック,728-0011,広島県三次市十日市西一丁目６－９,0824-63-9412,,有,"月・火・水・金8:30-12:00,14:00-17:30/木8:30-12:00/土
8:30-12:00,14:00-17:00(第３土曜休診〉","有（ノルレボは取り寄せ，プラ
ノバールを主に使用）",広島県,三次市,34.801979,132.848129
谷岡産科・婦人科,728-0021,広島県三次市三次町１７７８－３,0824-62-2813,,有,"月・火・水・金8:45-12:00,14:00-17:00/木・土8:45-12:00
（第５土曜は除く）",有,広島県,三次市,34.812286,132.843765
総合病院 庄原赤十字病院,727-0013,広島県庄原市西本町二丁目７番１０号,0824-72-3111,http://www.shobara.jrc.or.jp/,有,月・水・金 8:15～12:00,有,広島県,庄原市,34.858879,133.011169
