施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
かたよせクリニック産科・婦人科,972-8316,福島県いわき市常盤西郷町金山70-1,0246-42-4135,http://katayose-clinic.com,有,月.火.木.金 9:00-11:30 14:30-17:30 土 9:00-12:30,有,福島県,いわき市,37.003742,140.88858
月川レディースクリニック,970-8026,福島県いわき市字童子町2-6,0246-35-3511,0,有,平日 9:00-18:00 土曜 9:00-17:00 第1.第3日曜 9:00-12:00,有,福島県,いわき市,37.050457,140.88768
渡辺婦人科・内科クリニック,974-8212,福島県いわき市東田町2丁目15-8,0246-77-2772,0,有,平日 9:00-18:00 土曜 9:00-17:00,有,福島県,いわき市,36.920948,140.804764
いわき草木台総合クリニック,972-8301,福島県いわき市草木台5-1-5,0246-28-1145,www.iwaki-kusakidai.jp,有,火～金 8:30-11:30 15:00-18:30 土 8:30-11:30 15:00-17:30,有,福島県,いわき市,37.019272,140.874283
いわき婦人科,973-8403,福島県いわき市内郷綴町大木下3-2,0246-27-2885,http://www.iwaki-fu.or.jp/,有,平日 9:00-17:00 土曜 9:00-12:00,有,福島県,いわき市,37.035275,140.857407
かしまレディースクリニック,971-8145,福島県いわき市鹿島町船戸字沼田13-1,0246-58-8577,0,有,平日(月.火.木.金) 9:00-18:00 (水) 9:00-12:00 土曜 9:00-13:00,有,福島県,いわき市,36.985355,140.90152
あべクリニック,979-0333,福島県いわき市久之浜町久之浜字九反坪11,0246-79-0030,0,有,平日(月.火.水.金) 9:00-11:00 14:00-17:00 土曜 9:00-11:00,有,福島県,いわき市,37.140629,140.996689
大町病院,975-0001,福島県南相馬市原町区大町三丁目97番地,0244-24-2333,http://www.ohmachi.jp,有,毎週火曜日.非常勤医師による診療 9:00-16:00,有,福島県,南相馬市,37.640236,140.967712
あらき産婦人科クリニック,976-0036,福島県相馬市馬場野字山越55,0244-35-0303,0,有,月.火.水.金.土 9:00-17:00 木 9:00-12:00,有,福島県,相馬市,37.79147,140.931808
菅野医院,979-2702,福島県新地町谷地小屋字萩崎61-1,0244-63-2388,http://kanno-clinic.jp/,有,月.火.水.金 9:00-18:00 木.土 9:00-12:00,無,福島県,新地町,37.875114,140.921173
