施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
とみた産婦人科クリニック,857-1151,長崎県佐世保市日宇町2759-1,0956-34-7711,,有,月、火、水、金、土 9:00～12:00,有,長崎県,佐世保市,42202,33.159115,129.765961
"産科・婦人科
東島レディースクリニック",857-0841,長崎県佐世保市大宮町17-13,0956-31-5758,http://higashijima-l-c.com/,有,"月、火、水、金 9:30～13:00、14:30～17:30
土 9:30～13:00",有,長崎県,佐世保市,42202,33.158329,129.739777
"医療法人佐世保晩翠会
村上病院",859-3215,長崎県佐世保市早岐１丁目6-22,0956-38-5555,http://mhttp://murakami-obgy.or.jp/urakami-obgy.or.jp/,有,月、火、水、木、金、土 9:00～17:00,有,長崎県,佐世保市,42202,33.136658,129.796783
山下レディースクリニック,857-0806,長崎県佐世保市島瀬町4-19 バードハウジングビル3Ｆ,0956-25-5001,,有,"月、木 9:00～12:30、14:00～19:00
火、金 9:00～12:30、14:00～18:00
水、土 9:00～13:00",有,長崎県,佐世保市,42202,33.173065,129.720917
"医療法人社団清巒会
三浦産婦人科",851-2104,長崎県西彼杵郡時津町野田郷25-1,095-882-7000,https://miurasanfujinka.com/,有,"月～日 9:00～20:00
※下記診療時間以外は必ず事前に電話連絡を
月、火、水、金 9:00～18:00、
木 9:00～12:30 土 9:00～15:00",有,長崎県,西彼杵郡時津町,42308,32.826408,129.84726
"医療法人松角会
マムレディースクリニック",857-0071,長崎県諫早市永昌東町20-23,0957-22-0678,http://sanfujinkamom.com/sinryo/,有,"月、火、水、金 9:00～17:00
木、土 9:00～12:00",有,長崎県,長崎市,42201,32.853439,130.043533
医療法人 安永産婦人科医院,854-0003,長崎県諫早市泉町17-22,0957-22-0032,http://www.yasunaga-obgy.jp/,有,"月、火、水、木 9:00～12:00、13:30～17:40
金 9:00～12:00
土 9:00～12:00、13:30～15:00",有,長崎県,諫早市,42204,32.847519,130.056
出口医院レディースクリニック,854-0014,長崎県諫早市東小路町14-33,0957-22-3410,,有,月、火、水、木、金、土 9:00～12:00,有,長崎県,諫早市,42204,32.841602,130.053818
医療法人 大村中央産婦人科,856-0827,長崎県大村市水主町２丁目609-1,0957-52-3850,http://omura-central.jp/,有,"月、火、水、金 9:00～12:00、14:00～18:00
木 9:00～12:00
土 9:00～14:00",有,長崎県,大村市,42205,32.909313,129.956848
医療法人 おび産婦人科医院,856-0832,長崎県大村市本町223-2,0957-54-1103,http://www.obi-mc.or.jp/,有,"月、火、水、金 9:00～18:00
木、土 9:00～12:30",有,長崎県,大村市,42205,32.904819,129.960831
よしだレディースクリニック,856-0806,長崎県大村市富の原２丁目366-3,0957-56-2227,http://www.yoshida-ladies-clinic.com/,有,"月、火、木、金 9:00～18:00
水 9:00～12:00
土 9:00～13:00",有,長崎県,大村市,42205,32.942364,129.939468
"医療法人福重会
レディースクリニックしげまつ",856-0822,長崎県大村市古町１丁目514,0957-54-9200,https://lc-shigematsu.jp/,有,"月、火、水、金 9:00～13:00、15:00～18:00
木 9:00～12:00
土 9:00～14:00",有,長崎県,大村市,42205,32.91925,129.957718
まつお産婦人科,859-3605,長崎県東彼杵郡川棚町百津郷452,0956-82-2038,http://www.matsuo-obgyn.jp/,有,"月、火、水、金 9:00～18:00
木 9:00～13:00
土 9:00～16:00",有,長崎県,東彼杵郡川棚町,42322,33.067467,129.863846
"医療法人慈眼会
坂本医院内科・婦人科",855-0863,長崎県島原市親和町丁2670-10,0957-63-4641,http://www.himawarinet.ne.jp/-jigenkai/,有,"月～日 9:00～22:00
電話相談24時間対応",有,長崎県,島原市,42203,32.761642,130.367203
"医療法人愛心会
島原マタニティ病院",855-0803,長崎県島原市新町２丁目262-1,0957-62-7111,http://www.smh.or.jp/,有,"月、火、木、金、土 9:00～17:00
水 9:00～12:00",有,長崎県,島原市,42203,32.784996,130.371368
なおみレディースクリニック,855-0873,長崎県島原市北安億町3064-1,0957-61-1400,http://www.naomi-lc.com/,有,"月、火、木、金 9:00～18:00
水 9:00～12:00
土 9:00～13:00",有,長崎県,島原市,42203,32.751392,130.364838
山崎産婦人科医院,855-0823,長崎県島原市湊町350,0957-64-1103,http://www.yamasaki-iin.com/,有,"月、火、水、金 9:00～12:00、14:30～18:00
木 9:00～12:00",有,長崎県,島原市,42203,32.772793,130.373459
医療法人 いその産婦人科,859-2212,長崎県南島原市西有家町須川1792,0957-82-2430,https://isono-lc.com/wp/,有,"月、火、水、金 9:00～17:30
木 9:00～12:00
土 9:00～16:00",有,長崎県,南島原市,42214,32.659622,130.290192
医療法人 中山レディースクリニック,859-4502,長崎県松浦市志佐町里免297,0956-72-0050,http://www.nakayama-lc.com/,有,"月、火、水、金 9:00～18:00
木、土 9:00～12:00",有,長崎県,松浦市,42208,33.337486,129.71022
平井産婦人科医院,857-0341,長崎県北松浦郡佐々町羽須和免780-5,0956-62-3903,,有,"月、火、水、木、土 9:00～19:00
金 9:00～18:30",有,長崎県,北松浦郡佐々町,42391,33.23415,129.650909
医療法人社団 福江産婦人科医院,853-0032,長崎県五島市大荒町73-2,0959-72-6140,https://www.fukue-sanfujinka.or.jp/,有,"月、火、水、木、金 9:00～12:00、13:30～17:00
土 9:00～12:00
※時間外も対応可能な場合あり",有,長崎県,五島市,42211,32.696384,128.838837
長崎県上五島病院,857-4404,長崎県南松浦郡新上五島町青方郷1549-11,0959-52-3000,https://www.kamigoto-hospital.jp/,有,月、火、水、木、金 8:30～11:00,有,長崎県,南松浦郡新上五島町,42411,32.982807,129.070267
医療法人協生会 品川病院,811-5132,長崎県壱岐市郷ノ浦町東触854-2,0920-47-0121,http://shinagawaiki.byoinnavi.jp/pc/,有,"月、水、木、金 9:00～17:00
火 17:00～19:00（要確認）
土 9:00～12:00",有,長崎県,壱岐市,42210,33.755203,129.701385
長崎県対馬病院,817-0322,長崎県対馬市美津島町雞知甲50-7,0920-54-7111,http://www.tsushima-hospital.jp/,有,24時間対応可,有,長崎県,対馬市,42209,34.271004,129.310349
